,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name
8228,Kapitel 248 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:44G5fDzXBjhZy3azlYVFDR,Robert T. Kiyosaki
8229,Kapitel 249 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:2E82rGENaEmXHSD7b3xffH,Robert T. Kiyosaki
8230,Kapitel 250 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:2iZtUfXAvMWrIrJEmm8Aak,Robert T. Kiyosaki
8248,TakingOutTheTrash,UNRENDERED,spotify:track:3uE1swbcRp5BrO64UNy6Ex,BONES
8286,Kapitel 251 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:3pa8A9cdemDwCFugHTGRRI,Robert T. Kiyosaki
8289,Kapitel 252 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:32PkYKIULIIPI8iNKcstm1,Robert T. Kiyosaki
8290,Kapitel 253 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:52zNYYIQovVGjNVecTmzxf,Robert T. Kiyosaki
8291,Kapitel 254 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:7JpxR5YBTgMtjWhQxdt35x,Robert T. Kiyosaki
8292,Kapitel 255 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:2K3cwcOUQuMDOrwKfnXgQ8,Robert T. Kiyosaki
8318,Kapitel 260 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:5gq4UHWYEhhRXtfvSeBY8f,Robert T. Kiyosaki
8319,Kapitel 261 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:08Le2zZvTYih5Uvc66Zcxb,Robert T. Kiyosaki
8320,Kapitel 262 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:1WifuwmKZj2uKOxAWy0Lay,Robert T. Kiyosaki
8322,Kapitel 263 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:2W66kQMCSTG7WWa05FkpLn,Robert T. Kiyosaki
8323,Kapitel 264 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:7ogK8uID0WcJb0bLGp75H7,Robert T. Kiyosaki
8324,Kapitel 265 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:5XLo7pXAhVT4wqefnNj9CB,Robert T. Kiyosaki
8325,Kapitel 266 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:5p86AknllcswT8nqjl5RhP,Robert T. Kiyosaki
8326,Kapitel 267 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:6GUJZFRT79JPsbkjJS9B2p,Robert T. Kiyosaki
8333,Kapitel 5 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:5jtNAjrL8ySOGCyNq1aUYt,Stefan Merath
8334,Kapitel 6 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:7iNM1K4QWaD1yYvgOLApM4,Stefan Merath
8335,Kapitel 7 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:6XXDnvSDfiWoo9ORQG65iv,Stefan Merath
8349,Pipettchen,Gebüsch,spotify:track:79axsdGpaXg9DJ0i85UHZD,MC Bomber
8352,Morning Whisper,Morning Whisper,spotify:track:1Jj5GOtn7BoyruCmfJUa67,Novo Talos
8353,Now Is The Time To Leave,Departure,spotify:track:6wxi6j0tpjGJGczGrLeDYD,August Wilhelmsson
8354,Trickle Down,Trickle Down,spotify:track:3DuF2jYd6SfGslJxl8cPNA,Jean Permentier
8355,Norrsken,Norrsken,spotify:track:3toYHht60pj16nNK0e2HZy,Karin Borg
