uri,genre
spotify:artist:7f5Zgnp2spUuuzKplmRkt7,edm
spotify:artist:7f5Zgnp2spUuuzKplmRkt7,tropical house
spotify:artist:5vBSrE1xujD2FXYRarbAXc,pop
spotify:artist:5vBSrE1xujD2FXYRarbAXc,dance pop
spotify:artist:5vBSrE1xujD2FXYRarbAXc,pop dance
spotify:artist:5vBSrE1xujD2FXYRarbAXc,gauze pop
spotify:artist:5vBSrE1xujD2FXYRarbAXc,uk pop
spotify:artist:0ZR3khgseh3xy3s8iBYWrI,french indie pop
spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,pop
spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,dance pop
spotify:artist:2DlGxzQSjYe5N6G9nkYghR,pop
spotify:artist:2DlGxzQSjYe5N6G9nkYghR,urban contemporary
spotify:artist:2DlGxzQSjYe5N6G9nkYghR,dance pop
spotify:artist:4YXycRbyyAE0wozTk7QMEq,pop dance
spotify:artist:4YXycRbyyAE0wozTk7QMEq,tropical house
spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,pop dance
spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,edm
spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,complextro
spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,electro house
spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,electropop
spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,filter house
spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,nantes indie
spotify:artist:1fpemL1wk3ZyXVfpzlVEkL,uk contemporary r&b
spotify:artist:2IjiuEObrCKyZvSb8xLxG9,tropical house
spotify:artist:2IjiuEObrCKyZvSb8xLxG9,deep tropical house
spotify:artist:7xQTON6uj7akAGzlanUzy3,french rock
spotify:artist:7xQTON6uj7akAGzlanUzy3,uk alternative pop
spotify:artist:6DIS6PRrLS3wbnZsf7vYic,dance rock
spotify:artist:6DIS6PRrLS3wbnZsf7vYic,modern alternative rock
spotify:artist:6DIS6PRrLS3wbnZsf7vYic,modern rock
spotify:artist:6DIS6PRrLS3wbnZsf7vYic,neo mellow
spotify:artist:6DIS6PRrLS3wbnZsf7vYic,pop rock
spotify:artist:2l35CQqtYRh3d8ZIiBep4v,pop
spotify:artist:2l35CQqtYRh3d8ZIiBep4v,post-teen pop
spotify:artist:6sFIWsNpZYqfjUpaCgueju,pop
spotify:artist:6sFIWsNpZYqfjUpaCgueju,dance pop
spotify:artist:6sFIWsNpZYqfjUpaCgueju,canadian pop
spotify:artist:4d53BMrRlQkrQMz5d59f2O,pop soul
spotify:artist:35GL8Cu2GKTcHzKGi75xl5,urban contemporary
spotify:artist:35GL8Cu2GKTcHzKGi75xl5,dance pop
spotify:artist:35GL8Cu2GKTcHzKGi75xl5,r&b
spotify:artist:2qc41rNTtdLK0tV3mJn2Pm,alternative country
spotify:artist:2qc41rNTtdLK0tV3mJn2Pm,new americana
spotify:artist:2qc41rNTtdLK0tV3mJn2Pm,roots rock
spotify:artist:2qc41rNTtdLK0tV3mJn2Pm,singer-songwriter
spotify:artist:0MeLMJJcouYXCymQSHPn8g,ambient worship
spotify:artist:0MeLMJJcouYXCymQSHPn8g,chamber pop
spotify:artist:2b3drQxjyrPpJEef3mNGwc,modern folk rock
spotify:artist:2gsggkzM5R49q6jpPvazou,pop
spotify:artist:2gsggkzM5R49q6jpPvazou,dance pop
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,hip hop
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,rap
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,chicago rap
spotify:artist:4STHEaNw4mPZ2tzheohgXB,classic rock
spotify:artist:4STHEaNw4mPZ2tzheohgXB,mellow gold
spotify:artist:4STHEaNw4mPZ2tzheohgXB,rock
spotify:artist:4STHEaNw4mPZ2tzheohgXB,soft rock
spotify:artist:23fqKkggKUBHNkbKtXEls4,pop
spotify:artist:23fqKkggKUBHNkbKtXEls4,pop dance
spotify:artist:23fqKkggKUBHNkbKtXEls4,edm
spotify:artist:23fqKkggKUBHNkbKtXEls4,tropical house
spotify:artist:48sLioddyaXkuhyHXSkpsB,pop soul
spotify:artist:04gDigrS5kc9YWfZHwBETP,pop
spotify:artist:50OApTJurDusIo9dGTqSU4,french indie pop
spotify:artist:50OApTJurDusIo9dGTqSU4,french rock
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,pop dance
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,edm
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,tropical house
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,deep euro house
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,deep house
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,german dance
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,pop
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,dance pop
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,pop dance
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,edm
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,pop
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,dance pop
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,pop dance
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,edm
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,big room
spotify:artist:4D75GcNG95ebPtNvoNVXhz,dance pop
spotify:artist:4D75GcNG95ebPtNvoNVXhz,pop dance
spotify:artist:4D75GcNG95ebPtNvoNVXhz,edm
spotify:artist:4D75GcNG95ebPtNvoNVXhz,electro house
spotify:artist:4D75GcNG95ebPtNvoNVXhz,big room
spotify:artist:4D75GcNG95ebPtNvoNVXhz,dutch house
spotify:artist:4D75GcNG95ebPtNvoNVXhz,progressive electro house
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,pop
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,dance pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,rap
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,hip pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,queens hip hop
spotify:artist:1HxJeLhIuegM3KgvPn8sTa,pop dance
spotify:artist:1HxJeLhIuegM3KgvPn8sTa,edm
spotify:artist:1HxJeLhIuegM3KgvPn8sTa,electro house
spotify:artist:5he5w2lnU9x7JFhnwcekXX,pop dance
spotify:artist:5he5w2lnU9x7JFhnwcekXX,edm
spotify:artist:5he5w2lnU9x7JFhnwcekXX,complextro
spotify:artist:5he5w2lnU9x7JFhnwcekXX,brostep
spotify:artist:5he5w2lnU9x7JFhnwcekXX,electro
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,dance pop
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,pop dance
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,edm
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,electro house
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,moombahton
spotify:artist:1uNFoZAHBGtllmzznpCI3s,pop
spotify:artist:1uNFoZAHBGtllmzznpCI3s,canadian pop
spotify:artist:0TnOYISbd1XYRBk9myaseg,pop
spotify:artist:0TnOYISbd1XYRBk9myaseg,dance pop
spotify:artist:0TnOYISbd1XYRBk9myaseg,miami hip hop
spotify:artist:21E3waRsmPlU7jZsS13rcj,pop
spotify:artist:21E3waRsmPlU7jZsS13rcj,urban contemporary
spotify:artist:21E3waRsmPlU7jZsS13rcj,dance pop
spotify:artist:21E3waRsmPlU7jZsS13rcj,r&b
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,rap
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,pop rap
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,southern hip hop
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,trap
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,new jersey rap
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,pop
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian pop
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b
spotify:artist:3hv9jJF3adDNsBSIQDqcjp,pop soul
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,pop
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,indietronica
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,metropopolis
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,uk pop
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,pop
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,uk pop
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,singer-songwriter pop
spotify:artist:6VD4UEUPvtsemqD3mmTqCR,pop dance
spotify:artist:6VD4UEUPvtsemqD3mmTqCR,edm
spotify:artist:6VD4UEUPvtsemqD3mmTqCR,electro house
spotify:artist:6VD4UEUPvtsemqD3mmTqCR,dutch house
spotify:artist:6VD4UEUPvtsemqD3mmTqCR,progressive electro house
spotify:artist:6VD4UEUPvtsemqD3mmTqCR,melbourne bounce
spotify:artist:6VD4UEUPvtsemqD3mmTqCR,melbourne bounce international
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,rap
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,r&b
spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,pop
spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,girl group
spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,talent show
spotify:artist:6KZDXtSj0SzGOV705nNeh3,rap
spotify:artist:6KZDXtSj0SzGOV705nNeh3,pop rap
spotify:artist:6KZDXtSj0SzGOV705nNeh3,southern hip hop
spotify:artist:6KZDXtSj0SzGOV705nNeh3,trap
spotify:artist:4bL2B6hmLlMWnUEZnorEtG,pop dance
spotify:artist:4bL2B6hmLlMWnUEZnorEtG,uk dance
spotify:artist:4bL2B6hmLlMWnUEZnorEtG,edm
spotify:artist:4bL2B6hmLlMWnUEZnorEtG,tropical house
spotify:artist:4bL2B6hmLlMWnUEZnorEtG,german dance
spotify:artist:2TL8gYTNgD6nXkyuUdDrMg,viral pop
spotify:artist:1rw8ZTLnDHd74TWDDukjVi,australian pop
spotify:artist:540vIaP2JwjQb9dm3aArA4,pop
spotify:artist:540vIaP2JwjQb9dm3aArA4,dance pop
spotify:artist:540vIaP2JwjQb9dm3aArA4,pop dance
spotify:artist:540vIaP2JwjQb9dm3aArA4,edm
