id,name,uri
22I9QWygJ2IfxR855VsA3t,Hedex,spotify:artist:22I9QWygJ2IfxR855VsA3t
7zq2HarUwajpltrpiWR8zG,Sadjo Ka,spotify:artist:7zq2HarUwajpltrpiWR8zG
6TuVQLhn2QGz4ro1RAzXyc,Booz,spotify:artist:6TuVQLhn2QGz4ro1RAzXyc
4MkodGP3Xn15KrgXKz6XiA,Goonz,spotify:artist:4MkodGP3Xn15KrgXKz6XiA
41xWdsy3l8eM7xRhv11FoK,IMHIGHIMSORRY,spotify:artist:41xWdsy3l8eM7xRhv11FoK
7B1LLuCQk13H4Mb6CFBftU,The Martinez Brothers,spotify:artist:7B1LLuCQk13H4Mb6CFBftU
7ADRm1oT7VmhRRZrZqycV6,KASIMIR1441,spotify:artist:7ADRm1oT7VmhRRZrZqycV6
7qOrLnKJwEVg7mwq7k8Ffe,Michael Kraun,spotify:artist:7qOrLnKJwEVg7mwq7k8Ffe
3sAbVxYjczgrSmGrxcu7bM,Goldroger,spotify:artist:3sAbVxYjczgrSmGrxcu7bM
30SUIQhGDLj1pP0yg4fSMu,Miss Platnum,spotify:artist:30SUIQhGDLj1pP0yg4fSMu
1B8h9tQRqagUQ7XcHRvh3k,Brous One,spotify:artist:1B8h9tQRqagUQ7XcHRvh3k
3rCwiAT9oVk1TRcY8A5x9r,Hulk Hodn,spotify:artist:3rCwiAT9oVk1TRcY8A5x9r
323BD4mjoLA1ajX6zjIe2q,Atlantic Connection,spotify:artist:323BD4mjoLA1ajX6zjIe2q
13saZpZnCDWOI9D4IJhp1f,Lily Allen,spotify:artist:13saZpZnCDWOI9D4IJhp1f
3ENPUc4TI54xTPVo3Pc9ln,Dj Guv,spotify:artist:3ENPUc4TI54xTPVo3Pc9ln
5bsL2xyHKpuOR2wBv6plbR,Hizzleguy,spotify:artist:5bsL2xyHKpuOR2wBv6plbR
0bxHci3JIhhKA53n8rH3tT,High Contrast,spotify:artist:0bxHci3JIhhKA53n8rH3tT
3AXcevvp1Kd1KEyHiUEsrC,Unglued,spotify:artist:3AXcevvp1Kd1KEyHiUEsrC
2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,spotify:artist:2PaZWGu5T5nHjY2xxAkFsT
5fDyoLHIojxg3gEBpboE5b,Halfcastromeo,spotify:artist:5fDyoLHIojxg3gEBpboE5b
