duration_ms,explicit,name,popularity,uri,orig_uri,isrc
224613,True,Bartier Cardi (feat. 21 Savage),43,spotify:track:75FDPwaULRdYDn4StFN2rT,spotify:track:75FDPwaULRdYDn4StFN2rT,USAT21705413
228431,True,Dubai Shit,58,spotify:track:6urLjX35oXXRYtcH1b3dCh,spotify:track:5TRaIECBIfSkeqkKoG6psm,USUM71714127
160037,True,Booty,49,spotify:track:0FbSpY8RPxTRxi1Fpj9Dz9,spotify:track:1KVpZJwKeUOW3BKJ9if0Md,USSM11708944
264531,True,Codeine Dreaming (feat. Lil Wayne),62,spotify:track:4DTpngLjoHj5gFxEZFeD3J,spotify:track:4DTpngLjoHj5gFxEZFeD3J,USAT21705082
268946,True,Go Legend (& Metro Boomin),51,spotify:track:3wAI7MIQtTgwcRmwchPZBc,spotify:track:3nWzRkoCa44adZZ00li9sF,USUM71713224
191251,True,PICK IT UP (feat. A$AP Rocky),59,spotify:track:3ncgNpxLoBQ65ABk4djDyd,spotify:track:3ncgNpxLoBQ65ABk4djDyd,QMCE31701367
140792,True,Saint,58,spotify:track:7foypmc7KZyU716Yv63BPe,spotify:track:5RRw66jDLIzgIqwA7ABJ9o,USUM71714118
188563,True,Letterman,39,spotify:track:4EsYkJjHKMejYLp54woB9c,spotify:track:4EsYkJjHKMejYLp54woB9c,USAT21704854
141173,False,Monte Carlo,32,spotify:track:4aNJ0WZCsawOOzu6sQ2h1w,spotify:track:4aNJ0WZCsawOOzu6sQ2h1w,TCADH1751130
183105,True,What I Really Meant to You,24,spotify:track:4mKEAuHOC9dKL6xShw2acK,spotify:track:4mKEAuHOC9dKL6xShw2acK,TCACX1702782
235000,True,All I Need,21,spotify:track:3dQzGdp51BmTuniTcQ2F8i,spotify:track:3dQzGdp51BmTuniTcQ2F8i,AUBEC1712396
202871,False,On My Way,35,spotify:track:6TC0snyor5XOJzP6dGxRkn,spotify:track:16TbdqhPOMbwamsiqyLai7,USUG11701073
263571,True,X-Files,20,spotify:track:3FX2q7lAuRNSCc89K5hGUu,spotify:track:1tJ2vyS0vRVxOpt0aZlTha,TCACO1643153
221240,False,Day 'N' Nite (Nightmare),69,spotify:track:60PAzFNW3vAiAiVK6DRJfB,spotify:track:60PAzFNW3vAiAiVK6DRJfB,USUM70957500
