duration_ms,explicit,name,popularity,uri,isrc
192853,False,La Libertad,51,spotify:track:3DsLBZjoU5AYxZXsepHtsW,DEUM71900661
147500,True,CLOUD 7,39,spotify:track:7ksQkf6p0rF9CoDhxoePKn,DEWZ12100003
213700,False,"Love, Peace & Happiness",43,spotify:track:011Xn3Wqii67s4aaPgheiu,DEQ322100264
130588,False,Lipsticks & Heartbreaks,21,spotify:track:5WX5hHwiJnFx9IIcCKxWWP,DEKF22100832
204043,False,Don't Wait Up,49,spotify:track:45PF1Y3RcW5MK0jxWvhc4D,USQX92102647
151813,True,hdl,47,spotify:track:0E3d9sHyPV6wACYP1U4UlF,DEUM72005812
164062,False,HIGHWAY (feat. ELIF),39,spotify:track:6QVxJg8q95hEuPgNRb56jK,DEA622000958
166373,False,La Vida Seguirá,28,spotify:track:4j7P2S3Olv5D7YNB1dbGez,DEUM71500976
206108,False,Liebe zu dritt,55,spotify:track:1CeL9v59rZeFX63hYI4eAO,DEA622100847
229640,False,OMG!,49,spotify:track:55Bld5Surw2eIw74xSvn2S,DEQ321300474
210523,False,Großstadtfieber (feat. DAZZIT),30,spotify:track:5cpplI5JHlvuGHUWoXHjSN,DEA622001218
171188,False,Blaulicht,42,spotify:track:0XRUzjSbOyIQCVnHF9xG95,DEVN52000100
197093,False,Girl In A Big Shirt - From The Voice Of Germany,26,spotify:track:0f8JEH2dWA2bgKoWAkM87v,DEUM72119619
185666,True,Sex Tape,42,spotify:track:1zOMSnF631rlPHlS4hH9rV,DEQS81200091
204120,False,Bye Bye,61,spotify:track:4ooznHZF5fGsMIChB36pls,DEW921400582
186453,True,Dazwischen sind wir Freunde,37,spotify:track:0NX880zpZdAIRYvdzr3jkq,DEUM72006920
237640,False,Hotel Room Service,67,spotify:track:6Rb0ptOEjBjPPQUlQtQGbL,USJAY0900063
246960,False,Pon de Replay,74,spotify:track:4TsmezEQVSZNNPv5RJ65Ov,USIR20500331
179120,False,The Way I Are,78,spotify:track:2bLqfJjuC5syrsgDsZfGmn,USUM70722806
251240,False,Gimme More,76,spotify:track:6ic8OlLUNEATToEFU3xmaH,USJI10700609
258893,False,Maneater,78,spotify:track:4wH4dJgrsxONID6KS2tDQM,USUM70601449
213066,True,Pump It,72,spotify:track:2ygMBIctKIAfbEBcT9065L,USIR10500407
242733,True,SexyBack (feat. Timbaland),75,spotify:track:0O45fw2L5vsWpdsOdXwNAR,USJI10600269
238626,False,Disturbia,73,spotify:track:2VOomzT6VavJOGBeySqaMc,USUM70814476
245680,False,When I Grow Up,66,spotify:track:21pySLskKIKrhDziCX5ojQ,USUM70813999
146293,False,I'm Gone,34,spotify:track:0UsD5SCb1OPZQ6tXJxeFA3,USSM11903560
139651,False,help_urself,53,spotify:track:1lethytswFEKkvfNIjdCC1,QM42K2012954
224481,False,Work,57,spotify:track:1knUACOt5yfNAYn7gnYQVt,CAK471601701
128198,False,Washing Machine Heart,77,spotify:track:3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
167317,True,STUPID (feat. Yung Baby Tate),60,spotify:track:6qNB2ChCVPepl5ZjVJJTUW,GBAYE1900593
215510,True,Purple Lamborghini (with Rick Ross),61,spotify:track:6JyuJFedEvPmdWQW0PkbGJ,USAT21602007
185046,True,1,33,spotify:track:6FfnygS2FqlEQe9ZAP1rfA,QM42K1706288
197461,True,Perfect (Remix) (feat. Doja Cat & BIA),45,spotify:track:31tgCy8mn6sFuIiHSHfEhm,USRC12000521
198053,True,I'm Legit,46,spotify:track:5VH29X65xVLfH2TwD9EcxO,USCM51200745
212000,True,INDUSTRY BABY (feat. Jack Harlow),71,spotify:track:27NovPIUIRrOZoCHxABJwK,USSM12104539
202636,True,Plain Jane REMIX (feat. Nicki Minaj),63,spotify:track:2YzmfPLqUx5CJOaw5ThsBV,USRC11703649
144935,True,VIBEZ,60,spotify:track:0fySG6A6qLE8IvDpayb5bM,USUM71919281
172800,True,Ric Flair Drip (with Metro Boomin),80,spotify:track:7sO5G9EABYOXQKNPNiE9NR,QZ45A1700064
267960,False,Lady Marmalade - Single Edit,63,spotify:track:0PSZ9G584Ve27GK6ThlY6P,USUM72206801
140973,True,Had Some Drinks,57,spotify:track:6gGBL1uMBcNUOzSYfKreID,DEVF11700123
185520,False,I Feel Like I'm Drowning,72,spotify:track:3aauaXWRgwCMoykMbI0Jq1,USUM71709320
129599,True,Go Fuck Yourself,68,spotify:track:4NZrZgrRoR4GwR7flWOXRI,DEVF11600016
190906,True,Candy,55,spotify:track:4de1X6v99U7tfOXrNUCTbi,USRC11801164
216133,False,River,68,spotify:track:3mRLHiSHYtC8Hk7bzZdUs1,TCACL1648391
212946,False,Sex You,48,spotify:track:4pJt6B16mFRkmHfXUYmmrK,USSM11307973
238920,False,SOS,72,spotify:track:30cSNer6TV8x2utjULVeQ5,USUM70507379
193189,True,Motive X - Promiscuous Mix,0,spotify:track:07qHWMgKWYulwPHsTU18ba,NLRD52036919
173710,True,34+35,71,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,USUM72020423
226986,True,Streets,76,spotify:track:60ynsPSSKe6O3sfwRnIBRf,USRC11903460
303733,False,Skin,52,spotify:track:1mjMXiWYKSJ5XmJCC0O9HJ,USUM71026640
230613,False,I See Red,69,spotify:track:5MAK1nd8R6PWnle1Q1WJvh,USQX92003330
191600,True,Needed Me,77,spotify:track:4pAl7FkDMNBsjykPXo91B3,QM5FT1600118
266306,False,Bust Your Windows,57,spotify:track:56z2qI0gKcPthQF6l8AW3E,USJAY0800118
172626,True,Woman,79,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,USRC12101532
377466,False,Dance for You,34,spotify:track:7FiZqVOb86htTOt2GwDlKC,USSM11102795
209476,True,Wild Side (feat. Cardi B),59,spotify:track:2vXgyN14LX2zl7JEASw242,USRC12101473
225893,True,Access Denied,13,spotify:track:2RtodA9O20qR1GcAqzhWLy,GBUM72102029
212047,False,I Put A Spell On You,52,spotify:track:3sesq9P6ndjuqaq5om7sxT,GBUM71403864
