,artist_uri,track_uri
53,spotify:artist:2qOuZhiW6cQcUDGaBQwlxf,spotify:track:0S0EOSonmkj7jhNKJQ82lD
54,spotify:artist:7pXu47GoqSYRajmBCjxdD6,spotify:track:1SHA4IJyiyNobDOrQzFFXy
55,spotify:artist:12o3BOYKBwjbsjrW0Fm7iu,spotify:track:0EYAj4bb4v3r4S3lXBJ37r
56,spotify:artist:3IkzWxjxkhMaIlMbvTIRXI,spotify:track:5vKwj4F0gVE8T2Zy4T7mUW
57,spotify:artist:7dOCnyDR2oEa1hQlvTXvdT,spotify:track:6bU3RDOTuXynFSx3xWSdKq
58,spotify:artist:3IkzWxjxkhMaIlMbvTIRXI,spotify:track:2kaf8mQHThgANuMMbKEqoT
59,spotify:artist:46gyXjRIvN1NL1eCB8GBxo,spotify:track:4SOtTsuFYYlkOOvXMbroUv
60,spotify:artist:4bnTHHCHsFujaD34vWr4tV,spotify:track:3WWx0UmKQkcxctvIOdE50s
61,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:0cwzlVIFlRVK6ISk6u3noR
62,spotify:artist:6RhsbxbsDk5ypSXFkS41J4,spotify:track:5pDjbU8DBoNLSsTfaYC75R
63,spotify:artist:5kJsAiwFWEaNRPwvtkjnXz,spotify:track:5pDjbU8DBoNLSsTfaYC75R
64,spotify:artist:75vP2W1S1HhYmpi5cL14Oz,spotify:track:5pDjbU8DBoNLSsTfaYC75R
65,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:32sBVB5HmrwJ6e9g0S2BRL
66,spotify:artist:1uiEZYehlNivdK3iQyAbye,spotify:track:32sBVB5HmrwJ6e9g0S2BRL
67,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:5wXZXabu8JyRGNHqgueUHm
68,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:56Afib9o78iCsB7c5sNOXn
69,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:0pRyOQjr12h9RBEFmhbTQc
70,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:5dvpipXxOIH96gcGEKR1Iu
71,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:6dEe0H4vjEyy2ukczkB25o
72,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,spotify:track:6dEe0H4vjEyy2ukczkB25o
73,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:0gYNMkxqYwKvUCvYfcRWLs
74,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:19yMYXxG3gtIbKxOpQo9vL
75,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:4mkIH8ixbQ7cpOvhzEL7jc
76,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:1TFI1ltSMuCIoEc7as1Wvy
77,spotify:artist:6R8SE4sx8FJKf3ellRAkdm,spotify:track:1TFI1ltSMuCIoEc7as1Wvy
78,spotify:artist:5iRM7qYip6UNfQaPe2reCz,spotify:track:0dIgcqNnTDWT3q8DT5KyX3
79,spotify:artist:1uiEZYehlNivdK3iQyAbye,spotify:track:0dIgcqNnTDWT3q8DT5KyX3
80,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,spotify:track:0dIgcqNnTDWT3q8DT5KyX3
81,spotify:artist:4IZnj59pur7nfqpdGzuPF6,spotify:track:0dIgcqNnTDWT3q8DT5KyX3
82,spotify:artist:3IMOGrM63og03I4jMYo35G,spotify:track:2rPtQVGtHRQLUee3oujtRo
83,spotify:artist:0h154IoHceoxecVBZSopbt,spotify:track:2rPtQVGtHRQLUee3oujtRo
