,track_name,plays,first_played,last_played,days_between,days_played
61,Behind Blue Eyes,96,2016-10-31 19:27:59+00:00,2022-12-19 22:41:56+00:00,2240,63
62,The A Team,96,2017-05-22 18:36:05+00:00,2022-06-10 19:44:30+00:00,1845,54
63,Bells,96,2019-03-26 15:58:32+00:00,2022-09-02 19:14:58+00:00,1256,60
64,KARMA SEEKER,96,2018-01-20 09:40:39+00:00,2022-07-14 16:42:04+00:00,1636,71
65,Semi-Automatic,95,2017-05-16 12:41:02+00:00,2023-04-12 10:35:40+00:00,2156,42
66,morning rises,95,2018-10-29 14:33:10+00:00,2023-04-22 14:03:07+00:00,1635,78
67,West Lake,94,2018-08-04 13:14:32+00:00,2023-04-22 12:34:03+00:00,1721,68
68,Sag Nix,92,2018-04-12 14:15:18+00:00,2021-10-06 09:38:11+00:00,1272,58
69,acting like that (feat. Machine Gun Kelly),91,2021-03-02 14:34:10+00:00,2022-12-02 08:50:23+00:00,639,67
70,A Day at the Beach,91,2018-10-29 14:27:35+00:00,2023-02-21 20:40:37+00:00,1576,75
71,Fuck Away the Pain,90,2019-01-06 15:49:48+00:00,2022-11-04 18:49:02+00:00,1398,65
72,I Love You,90,2016-10-25 20:36:07+00:00,2022-09-17 10:33:54+00:00,2152,44
73,What You Make It,90,2022-11-08 07:32:13+00:00,2023-03-23 13:50:47+00:00,135,25
74,Midwayer,89,2017-11-13 17:52:40+00:00,2022-12-03 09:45:21+00:00,1845,67
75,Crossing A Line,89,2018-06-22 17:22:44+00:00,2023-05-09 21:21:53+00:00,1782,63
76,Stolen Dance,89,2017-09-05 20:01:36+00:00,2022-04-14 11:06:13+00:00,1681,44
77,Go Rilla,89,2019-04-25 12:21:17+00:00,2023-03-23 13:50:44+00:00,1428,60
78,Promise,88,2018-11-04 16:09:07+00:00,2023-04-12 10:57:49+00:00,1619,49
79,Conrad,88,2017-05-16 12:36:49+00:00,2021-12-23 22:12:28+00:00,1682,43
80,Give Me Love,88,2017-05-16 12:36:43+00:00,2022-02-28 15:07:41+00:00,1749,43
81,Wake Me Up,88,2018-09-23 10:23:59+00:00,2023-01-17 10:43:56+00:00,1577,55
82,Something Just Like This,86,2017-04-09 09:35:05+00:00,2021-12-01 15:30:56+00:00,1697,49
83,Primo,86,2017-10-03 13:44:45+00:00,2021-03-01 18:07:39+00:00,1245,57
84,Kokain,86,2018-09-19 19:06:52+00:00,2022-09-15 17:13:37+00:00,1456,64
85,Tuur mang Welten,86,2019-08-06 09:17:53+00:00,2023-02-07 09:06:52+00:00,1280,65
86,Counting Stars,86,2018-04-12 16:27:32+00:00,2023-01-14 10:49:59+00:00,1737,66
87,Can't Hold Us (feat. Ray Dalton),86,2016-07-23 16:22:16+00:00,2023-01-17 11:11:13+00:00,2368,76
88,Little Hollywood,84,2017-04-10 09:22:25+00:00,2023-04-12 10:46:14+00:00,2193,53
89,Your Favorite Place,84,2018-10-30 06:20:27+00:00,2023-04-07 09:04:19+00:00,1620,67
90,Animal Spirits,84,2021-08-03 06:13:59+00:00,2023-05-11 13:24:44+00:00,646,56
91,Best Friends,83,2018-08-07 08:48:04+00:00,2022-10-08 14:35:22+00:00,1523,54
92,CASTLE OF GLASS,83,2016-05-15 07:58:03+00:00,2022-01-20 13:34:25+00:00,2076,45
93,The Isle Of Arran,83,2018-10-25 13:54:32+00:00,2023-04-22 13:30:57+00:00,1639,61
94,I Took A Pill In Ibiza - Seeb Remix,83,2016-05-17 11:53:46+00:00,2022-10-24 11:34:31+00:00,2350,44
95,Buried Gold,83,2018-09-28 05:28:38+00:00,2021-07-24 17:36:26+00:00,1030,27
96,Wunderschöne Frau,82,2017-05-18 20:16:15+00:00,2022-01-20 13:10:52+00:00,1707,34
97,Nothing at All,82,2017-05-16 13:55:13+00:00,2023-04-13 17:15:37+00:00,2158,43
98,Misfits T-Shirt,82,2021-04-25 13:23:59+00:00,2022-08-04 11:43:02+00:00,465,60
99,3UO,82,2018-11-02 17:27:13+00:00,2023-02-13 19:28:36+00:00,1564,63
100,Have You Seen The Moon Tonight?,82,2022-05-07 19:09:33+00:00,2023-03-24 08:50:46+00:00,320,35
101,Above the Sky,81,2022-11-20 12:08:11+00:00,2023-05-14 14:22:25+00:00,175,33
102,Save Me,81,2017-04-01 07:44:58+00:00,2022-12-05 20:05:43+00:00,2074,29
103,Sushi,80,2017-02-01 20:47:36+00:00,2022-01-27 19:34:15+00:00,1820,39
104,"Ich wünschte, du wärst verloren - A COLORS SHOW",80,2022-01-09 20:26:39+00:00,2022-12-01 07:04:21+00:00,325,45
105,WE MADE PLANS & GOD LAUGHED,79,2022-11-08 07:41:56+00:00,2023-04-03 12:39:26+00:00,146,32
106,Catch & Release - Deepend Remix,79,2020-02-05 13:56:41+00:00,2023-04-12 10:42:43+00:00,1161,55
107,Apologize,79,2019-02-26 16:22:18+00:00,2022-11-05 09:14:31+00:00,1347,59
108,Monody (feat. Laura Brehm),79,2016-07-16 20:26:33+00:00,2021-08-12 07:21:44+00:00,1852,45
109,Favorite Color Is Blue,79,2018-06-22 18:49:19+00:00,2022-06-13 16:04:13+00:00,1451,62
110,A World Alone,78,2017-05-16 12:41:54+00:00,2022-06-10 07:08:52+00:00,1850,45
111,Eternal Youth,78,2018-10-25 09:54:13+00:00,2023-04-07 09:43:44+00:00,1624,60
112,Pitch Black,77,2017-08-24 17:36:24+00:00,2022-10-24 12:58:14+00:00,1886,28
113,Baller los,77,2016-08-31 14:27:38+00:00,2021-10-07 08:43:57+00:00,1862,48
114,Atlantico,76,2018-03-19 09:39:00+00:00,2022-07-17 15:38:45+00:00,1581,36
115,Papa,76,2017-07-16 14:43:36+00:00,2022-04-25 23:10:32+00:00,1744,39
116,I Think I'm OKAY (with YUNGBLUD & Travis Barker),76,2019-10-19 21:56:07+00:00,2022-11-08 07:31:47+00:00,1115,60
117,parents,76,2019-10-20 09:49:14+00:00,2022-10-20 18:53:02+00:00,1096,51
118,Tripical Moon,76,2019-02-20 12:50:12+00:00,2021-10-08 09:45:15+00:00,960,13
119,Gottseidank,75,2017-10-11 16:45:51+00:00,2019-12-11 06:17:07+00:00,790,37
120,Rude,75,2019-12-20 07:59:46+00:00,2023-05-07 13:09:06+00:00,1234,59
121,It's A Trip!,75,2019-01-31 09:10:01+00:00,2022-07-18 19:43:18+00:00,1264,56
122,Happy,75,2017-01-27 09:40:59+00:00,2022-12-10 15:52:17+00:00,2143,48
123,Some Kind of Disaster,74,2021-03-04 12:42:57+00:00,2022-10-08 14:06:08+00:00,583,48
124,Vorankommen,74,2018-04-02 14:03:13+00:00,2023-04-12 10:31:27+00:00,1835,51
125,Glaub mir,74,2018-07-23 11:32:14+00:00,2019-09-06 15:57:33+00:00,410,48
126,Hazy Shade of Winter (feat. Ray Toro),73,2019-03-26 16:16:06+00:00,2023-04-12 11:07:44+00:00,1477,46
127,Narben,73,2016-06-02 20:22:28+00:00,2022-01-20 12:12:26+00:00,2057,41
128,House of Memories,73,2017-06-06 09:50:05+00:00,2022-03-02 09:36:56+00:00,1729,21
129,Drück Drück,73,2018-09-17 09:09:07+00:00,2021-10-06 13:04:24+00:00,1115,48
130,Gotham City,73,2018-03-31 14:58:18+00:00,2020-10-14 13:45:07+00:00,927,53
131,Sakura Trees,73,2018-10-25 09:50:47+00:00,2023-02-11 12:24:44+00:00,1570,58
132,'Merican,73,2021-10-15 16:24:43+00:00,2022-10-26 12:16:13+00:00,375,51
133,Was du Liebe nennst,72,2017-10-29 08:08:06+00:00,2022-05-10 21:01:47+00:00,1654,41
134,Kontrollieren,72,2017-05-04 13:57:32+00:00,2021-12-02 05:51:38+00:00,1672,43
135,5 Songs in einer Nacht,72,2018-07-23 11:32:15+00:00,2022-03-28 21:46:08+00:00,1344,56
136,Nummer unterdrückt,72,2018-10-05 16:07:21+00:00,2021-10-07 08:39:20+00:00,1097,42
137,strangers,72,2019-01-04 16:21:37+00:00,2023-04-22 13:55:52+00:00,1568,53
138,Erntedank,71,2017-05-18 20:35:39+00:00,2022-03-02 08:09:54+00:00,1748,34
139,"1 step forward, 3 steps back",71,2021-11-04 21:35:50+00:00,2022-06-29 14:55:17+00:00,236,36
140,Bury Me Face Down,71,2019-01-31 14:25:07+00:00,2022-06-14 14:17:12+00:00,1229,47
141,5:32pm,70,2019-01-13 15:36:21+00:00,2023-02-21 19:40:20+00:00,1500,52
142,I Wish I Could Sleep,70,2018-10-31 19:45:06+00:00,2023-04-23 15:31:01+00:00,1634,55
143,Mit den Jungz,70,2017-07-13 19:52:46+00:00,2021-10-11 13:59:37+00:00,1550,46
144,Pour de vrai,70,2022-01-12 14:49:19+00:00,2023-02-04 12:54:31+00:00,387,52
145,Don't,69,2017-05-17 05:06:17+00:00,2021-07-04 16:19:58+00:00,1509,36
146,Westkreuz,69,2019-04-25 12:18:03+00:00,2022-12-05 21:07:44+00:00,1320,34
147,Australia Street,69,2017-06-27 11:56:33+00:00,2023-04-27 08:15:29+00:00,2129,37
148,Wer weiß,69,2017-05-18 20:53:12+00:00,2021-07-07 06:51:52+00:00,1510,36
149,House of Gold,68,2016-05-30 06:38:10+00:00,2021-07-04 16:20:15+00:00,1861,34
150,Tonight Tonight,68,2019-08-09 10:50:26+00:00,2023-03-23 13:51:19+00:00,1322,59
151,Death of a Bachelor,68,2017-06-06 09:50:04+00:00,2019-12-07 08:52:44+00:00,913,19
152,Grotta Delle Ninfe,68,2018-09-27 10:32:18+00:00,2023-04-17 08:25:59+00:00,1662,38
153,Drive By,67,2019-07-29 11:38:53+00:00,2023-01-17 10:06:32+00:00,1267,59
154,Demons,67,2016-08-27 08:16:52+00:00,2022-04-14 11:25:48+00:00,2056,30
155,Heute mit mir,67,2017-06-22 14:30:15+00:00,2022-02-15 19:00:11+00:00,1699,43
