,track_name,plays,first_played,last_played,days_between,days_played
269,Denk an die Kinder,51,2017-05-18 19:51:06+00:00,2021-10-15 12:47:27+00:00,1610,32
270,Armut treibt Jugendliche in die Popmusik,51,2017-09-30 12:07:00+00:00,2022-09-03 07:59:50+00:00,1798,19
271,Poo Fighters,51,2017-10-20 11:09:34+00:00,2022-07-28 10:31:52+00:00,1741,18
272,Fire Escape,51,2021-05-15 08:19:59+00:00,2023-04-21 15:16:12+00:00,706,23
273,How To Fly,51,2017-07-12 18:29:38+00:00,2023-04-27 08:15:05+00:00,2114,32
274,Dicks sucken,50,2016-06-02 18:22:10+00:00,2023-03-10 16:26:39+00:00,2471,22
275,Run Boy Run,50,2016-10-25 20:23:21+00:00,2023-02-17 13:33:30+00:00,2305,28
276,"Hört, Hört - Intro",50,2016-06-04 08:17:40+00:00,2021-05-11 11:11:08+00:00,1802,25
277,Wo kann man das kaufen,50,2019-01-01 14:51:22+00:00,2022-04-24 16:21:41+00:00,1209,30
278,Fuck You,50,2021-09-24 10:17:22+00:00,2022-06-05 22:16:04+00:00,254,38
279,Becks Ice,50,2018-04-26 05:01:17+00:00,2022-03-04 16:24:45+00:00,1408,18
280,Striche,50,2022-01-14 21:39:09+00:00,2022-10-23 19:44:30+00:00,281,34
281,Sterben kannst du überall,50,2017-10-20 11:09:34+00:00,2022-07-28 10:28:49+00:00,1741,16
282,Dumplin & Callaloo,50,2017-10-11 16:33:09+00:00,2021-03-30 12:36:32+00:00,1265,26
283,Topscout,49,2017-07-31 19:30:21+00:00,2022-02-15 18:58:55+00:00,1659,28
284,"Bach, JS: Concerto for Oboe and Violin in C Minor, BWV 1060R: I. Allegro",49,2018-12-04 17:33:25+00:00,2020-10-27 07:44:36+00:00,692,32
285,WZF?!,48,2020-10-30 08:43:30+00:00,2022-03-23 14:20:03+00:00,509,30
286,Heroes,48,2016-06-13 10:50:58+00:00,2023-05-14 14:31:38+00:00,2526,30
287,Regen,48,2020-01-22 13:52:50+00:00,2022-12-02 08:53:01+00:00,1044,24
288,Zeit steht,48,2019-09-22 07:23:33+00:00,2022-03-28 21:57:48+00:00,918,31
289,Caress Your Soul,48,2017-06-25 13:24:41+00:00,2022-06-08 09:13:33+00:00,1808,26
290,Machine Gun (F**k The NRA),48,2019-01-31 10:12:12+00:00,2022-11-08 07:29:43+00:00,1376,38
291,These Girls,48,2017-07-12 18:29:38+00:00,2022-09-28 16:30:51+00:00,1903,23
292,Einaudi: Le Onde,48,2018-03-19 09:39:00+00:00,2020-07-09 14:09:23+00:00,843,20
293,Hanging D,48,2017-11-13 17:24:59+00:00,2022-11-10 10:04:05+00:00,1822,24
294,Casual Affair,48,2017-06-04 16:55:16+00:00,2022-06-02 14:12:21+00:00,1823,23
295,Geh ran,48,2017-10-11 16:33:09+00:00,2022-02-28 07:41:50+00:00,1600,25
296,Marvin Gaye (feat. Meghan Trainor),47,2016-05-22 12:22:03+00:00,2023-01-07 19:13:47+00:00,2421,24
297,Wenn du tanzt,47,2018-04-26 05:01:17+00:00,2022-09-04 18:44:49+00:00,1592,27
298,Prostitution,47,2017-05-18 20:06:22+00:00,2021-05-12 11:32:47+00:00,1454,22
299,Alles beim Alten,47,2016-11-14 18:27:46+00:00,2022-01-10 08:52:30+00:00,1882,27
300,I Will Be Happy and Hopefully You Will Be Too,47,2020-07-16 07:29:31+00:00,2023-04-25 18:11:26+00:00,1013,33
301,New York,47,2017-10-11 16:44:01+00:00,2021-08-30 03:55:38+00:00,1418,25
302,Rapetrain,47,2017-10-20 11:10:11+00:00,2022-07-29 10:13:39+00:00,1742,15
303,No Love In LA,47,2021-12-08 12:35:58+00:00,2023-04-21 16:38:23+00:00,499,34
304,Drüben bei Penny,47,2018-04-26 05:01:17+00:00,2022-03-23 10:32:52+00:00,1427,25
305,Poo-Tang Clan,46,2016-06-02 15:25:48+00:00,2022-07-27 10:24:52+00:00,2245,15
306,SAD (Clap Your Hands),46,2021-11-26 10:11:43+00:00,2023-03-03 08:54:33+00:00,461,26
307,Don't Threaten Me with a Good Time,46,2017-06-05 15:00:20+00:00,2021-10-11 09:07:18+00:00,1588,17
308,Monster (DotEXE Remix),46,2016-05-12 20:14:20+00:00,2016-12-02 18:34:59+00:00,203,21
309,Lisa,46,2018-04-26 05:01:17+00:00,2022-09-04 19:23:39+00:00,1592,24
310,Freigetränke,46,2018-04-20 19:27:09+00:00,2021-07-20 13:33:48+00:00,1186,20
311,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",46,2016-05-17 11:54:06+00:00,2023-03-10 16:06:09+00:00,2488,26
312,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],46,2016-05-16 20:30:47+00:00,2022-02-11 14:45:03+00:00,2096,31
313,Universum regelt,46,2022-01-10 06:06:21+00:00,2022-10-23 16:59:05+00:00,286,27
314,Nice Girl 2.0,45,2017-07-08 16:00:39+00:00,2019-08-26 09:40:00+00:00,778,27
315,Russisch Tourette,45,2016-06-01 16:53:00+00:00,2022-07-26 19:23:18+00:00,2246,17
316,Lass liegen,45,2017-05-17 05:08:00+00:00,2021-05-19 13:28:08+00:00,1463,27
317,Pay for That Money,45,2019-11-25 14:41:40+00:00,2022-01-01 18:07:57+00:00,768,22
318,Raus aus meiner Kneipe,45,2016-06-02 19:03:36+00:00,2022-08-01 12:42:10+00:00,2250,16
319,Illegalize It,45,2016-01-28 17:53:35+00:00,2021-08-12 06:26:01+00:00,2022,21
320,Baby,44,2018-10-21 16:54:08+00:00,2022-04-15 11:45:28+00:00,1271,10
321,Hellfire,44,2018-01-15 15:18:34+00:00,2022-09-12 11:58:21+00:00,1700,35
322,Der Kaiser von China,44,2016-11-14 18:34:34+00:00,2022-04-25 18:56:43+00:00,1988,21
323,The Light She Brings,44,2017-11-13 17:16:50+00:00,2022-12-06 13:27:56+00:00,1848,30
324,La Valse D'amélie,44,2018-03-19 09:39:00+00:00,2020-10-04 10:23:00+00:00,930,22
325,Horns,44,2019-02-02 10:12:37+00:00,2022-09-12 11:52:49+00:00,1318,33
326,Magisch,44,2018-03-31 14:49:03+00:00,2022-03-01 07:08:46+00:00,1430,25
327,Deine Schuld,44,2021-07-14 15:55:13+00:00,2022-09-29 17:56:43+00:00,442,30
328,9mm,44,2018-03-29 05:58:11+00:00,2022-04-07 17:13:03+00:00,1470,34
329,Na Na Na (Na Na Na Na Na Na Na Na Na),44,2021-04-30 09:07:41+00:00,2022-07-27 19:08:47+00:00,453,34
330,I'm Yours,44,2016-06-25 11:43:41+00:00,2022-02-15 18:59:33+00:00,2061,24
331,Neongrüner Auswurf,44,2016-06-01 16:28:48+00:00,2022-07-30 16:09:19+00:00,2249,18
332,Geldautomat,44,2021-06-28 21:58:42+00:00,2023-02-04 12:57:18+00:00,585,29
333,Waterfalls,44,2020-06-05 16:22:30+00:00,2022-05-19 20:23:11+00:00,713,32
334,Amsterdam,44,2016-06-11 13:24:00+00:00,2022-12-07 15:05:22+00:00,2370,36
335,Water Fountain,43,2019-11-03 15:12:19+00:00,2023-05-07 12:37:34+00:00,1280,35
336,Der Untergang des Abendlandes,43,2018-04-26 05:01:17+00:00,2022-01-21 11:57:03+00:00,1366,26
337,Septennial,43,2018-09-27 11:30:10+00:00,2021-11-12 07:10:12+00:00,1141,21
338,Etude,43,2017-11-14 21:29:23+00:00,2023-03-26 15:06:16+00:00,1957,30
339,Schlechte Angewohnheit,43,2017-10-20 11:10:11+00:00,2022-07-28 11:00:14+00:00,1741,15
340,Perlen vor die Säue,43,2020-12-09 16:07:24+00:00,2022-09-05 07:42:07+00:00,634,36
341,Fear of the Fallen,43,2021-08-30 04:03:21+00:00,2021-11-24 17:20:31+00:00,86,22
342,My Friends Are Robots,43,2019-05-02 12:11:26+00:00,2022-06-13 16:04:19+00:00,1138,32
343,Billie Holiday,43,2017-10-12 13:39:37+00:00,2021-03-31 06:40:00+00:00,1265,24
344,You Don't Understand,42,2022-04-30 16:11:23+00:00,2022-11-04 21:12:17+00:00,188,20
345,Hunderttausend Meilen,42,2017-05-10 14:41:56+00:00,2022-06-07 14:28:19+00:00,1853,25
346,Conquest Of Spaces,42,2018-05-30 17:39:58+00:00,2021-11-27 09:39:40+00:00,1276,12
347,Alles anders (weniger im Arsch),42,2022-03-04 14:15:51+00:00,2022-12-15 14:58:34+00:00,286,28
348,Alone,42,2017-02-05 17:07:54+00:00,2022-01-19 07:22:07+00:00,1808,33
349,Both of Us,42,2018-10-25 10:02:02+00:00,2023-04-27 08:24:38+00:00,1644,35
350,Jealous,42,2017-05-24 21:12:46+00:00,2022-07-14 16:46:54+00:00,1876,16
351,Iron,42,2016-10-29 21:10:10+00:00,2023-03-10 16:01:50+00:00,2322,25
352,Unendlichkeit,42,2017-07-08 16:00:26+00:00,2021-12-02 05:52:41+00:00,1607,13
353,I Really Wish I Hated You,42,2021-04-24 09:41:26+00:00,2022-11-02 16:44:21+00:00,557,33
354,Molotow,41,2020-04-05 20:12:20+00:00,2022-07-14 14:37:09+00:00,829,31
355,Nothing Left (feat. Will Heard),41,2020-07-27 19:16:02+00:00,2022-12-19 22:41:49+00:00,875,25
356,Hab dich mal nicht so,41,2017-10-20 11:09:35+00:00,2022-07-28 10:34:44+00:00,1741,12
357,Tu peux toujours courir,41,2021-05-06 19:31:19+00:00,2023-04-07 21:49:53+00:00,701,28
358,Vogel,41,2018-09-27 11:30:01+00:00,2021-07-25 10:56:31+00:00,1031,20
359,Afraid to Fly,41,2018-09-28 07:36:31+00:00,2021-11-12 07:09:59+00:00,1140,20
360,Drip,41,2021-05-27 07:39:35+00:00,2022-07-14 15:07:37+00:00,413,34
361,Sex,41,2017-06-25 13:19:20+00:00,2022-09-28 16:55:33+00:00,1921,21
362,"Mama, kannst du mich abholen I",41,2017-05-17 15:10:01+00:00,2021-10-11 14:37:48+00:00,1607,26
363,There's Nothing Holdin' Me Back,40,2017-05-16 14:04:48+00:00,2021-12-01 15:30:10+00:00,1660,21
364,I Was Wrong,40,2022-05-11 09:14:59+00:00,2022-09-08 09:01:00+00:00,119,22
365,Arbeitskollegen,40,2017-10-20 11:09:39+00:00,2022-07-28 11:00:14+00:00,1741,12
366,Jibbitbongbier,40,2016-09-01 12:09:54+00:00,2021-10-11 12:43:33+00:00,1866,22
367,Kartell,40,2017-10-02 18:40:01+00:00,2021-01-23 16:08:45+00:00,1208,28
368,Piraten,40,2016-05-17 14:13:57+00:00,2021-10-05 11:55:17+00:00,1966,20
369,The Golden Age,40,2016-11-08 17:05:31+00:00,2021-08-12 06:45:36+00:00,1737,23
370,"Me, Myself & I",40,2016-05-27 22:32:56+00:00,2023-02-17 09:04:30+00:00,2456,19
371,Howling At The Moon,40,2016-05-27 22:27:36+00:00,2022-02-18 08:10:25+00:00,2092,19
372,Ein Problem mit Alkohol,40,2019-01-11 12:44:52+00:00,2022-04-21 08:41:16+00:00,1195,26
373,Faded,40,2016-05-14 14:16:08+00:00,2020-10-09 06:41:07+00:00,1608,20
374,Semmelweisreflex,39,2018-04-01 18:24:12+00:00,2021-10-06 12:33:25+00:00,1283,22
375,Impossible,39,2016-06-13 10:52:27+00:00,2021-05-11 09:42:40+00:00,1792,28
376,Don't Stop Me Now - Remastered 2011,39,2018-11-27 17:16:26+00:00,2021-02-19 13:02:27+00:00,814,25
377,bike boy,39,2021-11-07 15:18:08+00:00,2022-09-04 18:59:17+00:00,301,29
378,Over The Rainbow,39,2017-09-05 17:27:42+00:00,2019-02-19 17:01:48+00:00,531,14
379,For Steven,39,2017-11-14 21:34:07+00:00,2022-12-06 13:25:44+00:00,1847,27
380,161,39,2021-12-04 20:29:45+00:00,2022-10-23 19:52:32+00:00,322,26
381,3. Stock,39,2020-11-26 13:29:27+00:00,2022-06-08 07:58:10+00:00,558,31
382,The Lazy Song,39,2019-02-17 17:29:19+00:00,2023-05-07 13:53:28+00:00,1539,31
383,Sugar (feat. Francesco Yates),38,2019-09-25 15:20:30+00:00,2023-05-07 13:39:21+00:00,1319,19
384,120 Jahre,38,2017-10-29 08:07:57+00:00,2019-09-09 13:03:32+00:00,680,10
385,Nach allen Regeln der Kunst,38,2017-10-20 11:10:01+00:00,2022-07-28 11:00:14+00:00,1741,11
386,Choke,38,2019-01-07 16:52:42+00:00,2023-04-24 18:13:20+00:00,1568,35
387,Lake Shore Drive,38,2018-12-12 17:52:17+00:00,2023-04-12 11:04:26+00:00,1581,26
388,Neben mir,38,2021-11-04 09:48:09+00:00,2023-04-01 13:30:22+00:00,513,34
389,Kawakaari,38,2017-11-13 17:47:28+00:00,2022-12-06 13:51:02+00:00,1848,27
390,Auf der faulen Haut,38,2021-11-16 12:13:09+00:00,2023-02-02 20:11:38+00:00,443,28
391,Eyes Wide Shut,38,2018-09-27 10:42:10+00:00,2021-11-12 09:03:23+00:00,1141,28
392,Immer noch,38,2018-09-06 11:43:26+00:00,2021-05-21 12:04:04+00:00,988,31
393,Komm mal rüber bitte,38,2018-04-26 05:01:17+00:00,2021-07-20 12:52:19+00:00,1181,18
394,Still Don't Know My Name,38,2021-01-07 08:36:27+00:00,2023-02-10 10:16:10+00:00,764,22
395,Glad You Came,38,2019-08-08 13:10:56+00:00,2023-02-21 18:09:23+00:00,1293,29
396,Victorious,38,2017-06-03 12:56:31+00:00,2022-01-20 10:25:22+00:00,1691,15
397,Münchhausen I,37,2017-05-18 20:58:37+00:00,2021-05-11 10:20:33+00:00,1453,18
398,Congratulations - Acoustic,37,2017-06-07 21:24:13+00:00,2022-02-15 19:00:08+00:00,1713,19
399,Die A Little,37,2021-03-02 14:27:58+00:00,2022-05-11 09:44:43+00:00,434,20
400,Me And My Broken Heart,37,2016-07-19 17:36:24+00:00,2023-02-21 19:05:46+00:00,2408,28
401,Lost in Bat Country,37,2017-05-18 22:52:58+00:00,2022-01-10 09:15:33+00:00,1697,20
402,Trauerfeier Lied,37,2017-05-18 20:44:24+00:00,2021-05-17 08:05:23+00:00,1459,20
403,The River,37,2016-06-10 11:54:04+00:00,2023-02-24 10:00:35+00:00,2449,24
404,Wein a Ramallah,37,2018-09-28 05:15:37+00:00,2021-11-12 07:10:07+00:00,1141,18
405,"Vivaldi: Violin Concerto in D Minor, Op. 8 No. 7, RV 242 ""Per Pisendel"": III. Allegro",37,2018-12-04 06:20:48+00:00,2020-02-19 15:14:00+00:00,442,28
406,Issues,37,2017-01-29 20:32:35+00:00,2021-10-25 06:32:38+00:00,1729,31
407,Koks auf Hawaii,36,2016-06-02 16:16:58+00:00,2022-07-27 13:45:50+00:00,2245,10
408,Wieder da,36,2016-09-01 11:54:26+00:00,2021-05-20 05:11:09+00:00,1721,22
409,Mother May I Sleep With Danger?,36,2022-02-21 14:43:18+00:00,2022-12-16 11:06:17+00:00,297,32
410,Bittersweet,36,2020-11-20 21:28:57+00:00,2023-04-22 13:16:48+00:00,882,32
411,Lonely,36,2020-06-10 06:07:59+00:00,2022-12-29 13:59:07+00:00,932,29
412,Medication,36,2019-10-21 13:30:13+00:00,2022-11-08 07:32:18+00:00,1113,30
413,Remedy,36,2020-09-06 15:49:32+00:00,2023-02-10 10:38:52+00:00,886,30
414,Ich bin in Wien,36,2020-01-28 13:27:15+00:00,2020-11-20 23:38:03+00:00,297,7
415,Don't Matter,36,2022-04-30 14:33:16+00:00,2022-07-13 13:02:10+00:00,73,16
416,Another Love,36,2016-06-25 09:52:50+00:00,2022-07-16 17:13:22+00:00,2212,33
417,Hills Have Eyes,36,2022-11-08 07:36:52+00:00,2023-04-23 11:28:58+00:00,166,20
418,Murcielago,36,2017-10-03 19:06:32+00:00,2021-01-01 15:24:55+00:00,1185,21
419,Traveling Myself,35,2016-07-11 13:43:13+00:00,2023-02-17 13:00:42+00:00,2411,23
420,Makda,35,2018-09-27 11:29:36+00:00,2021-11-12 07:10:15+00:00,1141,18
421,Wem du's heute kannst besorgen,35,2019-09-25 15:26:31+00:00,2022-07-13 17:01:44+00:00,1022,28
422,Ohne mein Team,35,2016-09-28 15:00:18+00:00,2021-02-11 10:43:59+00:00,1596,24
423,Aragorn,35,2017-10-20 11:15:10+00:00,2019-03-01 11:16:00+00:00,497,10
424,Als gelesen markiert,35,2017-10-20 11:10:15+00:00,2020-07-11 10:47:27+00:00,994,10
425,Wissen schützt vor Dummheit nicht - Zugabe,35,2020-01-09 14:02:48+00:00,2022-04-27 07:17:39+00:00,838,25
426,Musik ist keine Lösung,35,2017-05-18 22:12:40+00:00,2021-10-01 13:14:37+00:00,1596,23
427,30er Zone,35,2017-07-20 14:18:19+00:00,2019-09-06 15:49:53+00:00,778,26
428,Shibren,35,2018-09-28 07:18:32+00:00,2021-11-12 07:10:28+00:00,1140,21
429,OK,35,2016-11-14 18:31:29+00:00,2022-01-10 08:37:15+00:00,1882,21
430,We Are Still Here!,35,2020-03-15 16:26:32+00:00,2021-11-12 07:16:20+00:00,606,24
431,Stayin' Alive,35,2018-11-05 06:37:49+00:00,2018-11-26 18:33:30+00:00,21,12
432,C'est la vie,35,2022-05-10 11:48:43+00:00,2023-03-23 13:51:02+00:00,317,26
433,Crazy = Genius,35,2017-06-06 09:50:04+00:00,2017-09-16 14:04:27+00:00,102,9
434,Trostpreis,35,2017-05-16 13:55:55+00:00,2022-04-02 12:03:32+00:00,1781,26
435,18,35,2020-12-29 08:26:13+00:00,2022-10-23 19:52:31+00:00,663,24
436,Darkside,35,2019-02-28 11:14:11+00:00,2021-12-07 07:58:50+00:00,1012,24
437,Hab ich recht,35,2017-05-17 15:09:29+00:00,2021-05-27 15:35:50+00:00,1471,21
438,Ebbe & Flut,35,2016-10-01 09:44:46+00:00,2021-05-21 11:20:31+00:00,1693,29
439,Hauch mich mal an,34,2020-10-30 08:54:22+00:00,2022-04-21 08:32:46+00:00,537,24
440,Glitzerstein,34,2020-01-29 16:28:24+00:00,2020-01-29 18:14:10+00:00,0,1
441,Mexico,34,2021-04-05 16:18:23+00:00,2022-06-08 08:43:17+00:00,428,22
442,Bootleg Rascal,34,2017-06-25 13:21:40+00:00,2021-01-18 14:33:14+00:00,1303,20
443,Bayside,34,2021-04-28 06:29:17+00:00,2022-07-25 09:13:46+00:00,453,25
444,Laika,34,2017-06-25 13:25:19+00:00,2021-03-04 13:04:33+00:00,1347,19
445,Sonderling,34,2017-11-15 17:26:04+00:00,2022-05-02 10:14:36+00:00,1628,27
446,Evening Routine,34,2018-10-25 17:06:46+00:00,2023-04-07 09:06:44+00:00,1624,31
447,Canaries in a Coal Mine,34,2020-02-17 10:39:24+00:00,2021-11-12 07:10:59+00:00,633,23
448,Serotonin,34,2022-05-12 08:02:08+00:00,2023-02-04 12:16:10+00:00,268,21
449,Ocean Man,34,2017-09-19 17:14:58+00:00,2021-10-11 14:28:44+00:00,1482,20
450,Ausgehen,34,2020-07-23 10:47:55+00:00,2022-12-19 22:38:18+00:00,879,26
451,Das bedeutet Krieg,34,2017-05-19 20:10:11+00:00,2022-01-19 17:11:17+00:00,1705,25
452,Übertriebener Rap,34,2016-01-24 11:24:10+00:00,2021-02-11 10:37:33+00:00,1844,17
453,Münchhausen II,34,2017-05-18 20:08:27+00:00,2021-05-11 10:38:00+00:00,1453,17
454,Maybe,34,2019-01-15 16:18:13+00:00,2023-01-06 18:09:00+00:00,1452,26
455,Ballin,34,2018-10-30 16:51:29+00:00,2021-03-01 18:21:01+00:00,853,33
456,CARRYING YOU - BossaNova version,34,2021-07-16 09:44:48+00:00,2023-03-20 13:50:10+00:00,612,21
457,Bonnie & Clyde,33,2016-10-09 10:55:25+00:00,2018-09-05 12:58:33+00:00,696,16
458,Rockabye (feat. Sean Paul & Anne-Marie),33,2017-01-28 17:49:49+00:00,2022-03-17 07:45:23+00:00,1873,19
459,Goodbye Angels,33,2017-07-15 22:37:41+00:00,2022-02-15 18:59:55+00:00,1675,21
460,"Love, Peace & Happiness",33,2021-11-08 09:57:06+00:00,2022-07-14 14:48:10+00:00,248,26
461,Hitler töten,33,2017-05-18 21:42:57+00:00,2022-12-26 17:34:22+00:00,2047,20
462,casual sabotage,33,2019-10-20 09:53:05+00:00,2021-12-30 11:24:23+00:00,802,19
463,Weg von hier,33,2017-10-20 11:10:22+00:00,2020-08-18 18:41:05+00:00,1033,8
464,Kein Problem,33,2017-07-31 19:30:21+00:00,2022-03-23 10:16:19+00:00,1695,21
465,Milchschaum,33,2018-04-26 05:01:17+00:00,2021-07-20 13:24:37+00:00,1181,18
466,Despicable,33,2019-01-31 12:10:56+00:00,2021-01-22 19:00:57+00:00,722,19
467,Forgot About Tai,33,2016-06-02 15:14:40+00:00,2022-08-04 00:02:05+00:00,2253,5
468,1886,33,2018-09-27 11:30:05+00:00,2021-11-12 07:10:12+00:00,1141,18
469,Numb / Encore,33,2016-05-10 18:33:47+00:00,2022-10-15 20:17:31+00:00,2349,24
470,Das Privileg,33,2019-10-16 12:38:58+00:00,2022-09-05 06:18:11+00:00,1054,24
471,Arnalds: Tomorrow's Song,32,2018-03-19 09:39:00+00:00,2020-10-04 10:33:19+00:00,930,22
472,Kippe,32,2022-05-12 09:57:16+00:00,2022-12-22 11:58:02+00:00,224,21
473,Chunky,32,2018-04-20 19:27:09+00:00,2021-05-21 11:37:44+00:00,1126,17
474,Schlaflos in Guantanamo,32,2017-05-18 22:35:18+00:00,2022-04-21 08:36:48+00:00,1798,20
475,Vanilla Sky,32,2016-09-24 09:57:35+00:00,2022-05-10 20:28:25+00:00,2054,23
476,Stay In The Dark,32,2019-01-09 16:54:38+00:00,2022-10-04 19:49:06+00:00,1364,25
477,2U (feat. Justin Bieber),32,2017-07-06 15:20:52+00:00,2022-02-15 18:59:42+00:00,1685,18
478,Meine Hoe,32,2019-02-28 11:22:09+00:00,2022-07-14 13:56:25+00:00,1232,23
479,Sowieso,32,2017-08-01 15:57:03+00:00,2021-10-11 08:06:23+00:00,1531,19
480,Mensch ohne Grund (Vortex Solo),32,2016-06-02 14:07:28+00:00,2022-07-27 13:35:32+00:00,2245,5
481,Monte Carlo,32,2017-10-29 08:08:02+00:00,2022-07-14 14:19:17+00:00,1719,26
482,Liebe zu dritt,32,2021-10-12 09:18:04+00:00,2022-03-25 15:11:08+00:00,164,26
483,Autumn,32,2017-11-15 21:48:48+00:00,2022-12-06 13:28:26+00:00,1846,21
484,Shape of You,32,2017-01-28 11:14:27+00:00,2021-03-01 14:50:53+00:00,1493,23
485,I Gotta Feeling,32,2020-01-13 12:52:52+00:00,2023-02-21 18:14:13+00:00,1135,25
486,Zoetrope,32,2017-11-14 21:38:02+00:00,2022-12-06 13:26:56+00:00,1847,23
487,Temporär für immer,32,2022-01-12 14:37:25+00:00,2022-06-11 12:02:43+00:00,149,25
488,Hymne gegen euch,32,2021-10-12 09:21:30+00:00,2022-03-22 16:59:36+00:00,161,29
489,Despacito - Remix,32,2017-05-16 14:02:19+00:00,2021-12-01 15:30:50+00:00,1660,11
490,Genau wie Du 2015,32,2017-05-13 05:15:27+00:00,2022-01-10 08:49:13+00:00,1703,21
491,Girl That You Love,31,2017-06-04 16:48:17+00:00,2022-01-20 10:07:50+00:00,1690,11
492,Vincent van Gogh,31,2021-05-17 04:54:48+00:00,2022-11-09 06:54:36+00:00,541,26
493,Take Me To Church,31,2016-07-02 10:15:11+00:00,2022-11-10 20:16:09+00:00,2322,28
494,Sockosophie,31,2016-05-17 12:16:37+00:00,2022-09-02 19:05:33+00:00,2299,23
495,Airwaves,31,2021-07-17 09:55:54+00:00,2023-05-07 12:58:06+00:00,659,29
496,Wenn jetzt Sommer wär,31,2019-10-27 01:21:11+00:00,2022-07-27 18:42:18+00:00,1004,22
497,This Girl (Kungs Vs. Cookin' On 3 Burners),31,2019-08-05 14:36:47+00:00,2022-10-24 11:53:22+00:00,1175,22
498,Save Money,31,2016-09-01 12:03:33+00:00,2021-01-27 07:50:43+00:00,1608,16
499,Tickerhandy,31,2019-10-27 17:28:42+00:00,2022-05-10 19:15:39+00:00,926,25
500,ich hasse dich,31,2022-04-02 23:39:55+00:00,2022-07-17 15:23:56+00:00,105,12
501,Clouds & Cream,31,2017-06-30 14:20:23+00:00,2022-09-28 16:30:56+00:00,1916,17
502,I Just Killed Two Cops Today,31,2016-11-14 18:28:01+00:00,2022-01-10 09:02:08+00:00,1882,20
503,International,31,2017-07-20 14:18:19+00:00,2021-11-17 09:11:32+00:00,1580,27
504,Nur noch Gucci,31,2017-07-10 22:54:06+00:00,2022-04-25 19:14:39+00:00,1749,21
505,Brot nach Hause,31,2019-06-24 19:20:49+00:00,2022-01-20 12:15:21+00:00,940,20
506,Thrift Shop (feat. Wanz),31,2019-08-08 11:23:23+00:00,2023-05-07 13:15:57+00:00,1368,25
507,Pot Of Gold,30,2018-04-10 14:14:06+00:00,2018-10-04 08:34:30+00:00,176,16
508,Elton John,30,2016-09-01 12:10:17+00:00,2021-05-26 12:35:29+00:00,1728,16
509,FML,30,2018-01-08 20:07:02+00:00,2021-11-03 10:26:19+00:00,1394,23
510,Münchhausen III,30,2017-05-18 20:47:23+00:00,2021-05-11 10:52:11+00:00,1453,18
511,NO,30,2016-05-11 18:03:32+00:00,2022-07-14 15:04:36+00:00,2254,19
512,Emperor's New Clothes,30,2017-06-06 09:50:04+00:00,2018-10-17 21:31:52+00:00,498,7
513,Under the Sea,30,2020-03-17 22:37:29+00:00,2021-11-12 07:10:44+00:00,604,19
514,Why You Look Sad?,30,2022-02-23 17:37:32+00:00,2023-02-04 12:19:01+00:00,345,26
515,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",29,2020-05-21 19:41:38+00:00,2023-01-17 10:09:54+00:00,970,24
516,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",29,2018-10-19 16:48:46+00:00,2021-07-04 17:52:03+00:00,989,23
517,Cozy,29,2022-05-12 07:52:48+00:00,2023-03-24 08:58:27+00:00,316,22
518,Bärwaldpark,29,2018-04-26 05:01:17+00:00,2021-07-23 06:41:38+00:00,1184,15
519,Sisyphos,29,2022-01-12 14:49:46+00:00,2022-12-22 12:15:51+00:00,343,22
520,Freddy Crabs,29,2017-06-25 14:12:33+00:00,2020-07-23 05:21:18+00:00,1123,17
521,Wolken,29,2020-03-17 22:40:52+00:00,2021-08-12 17:23:21+00:00,512,20
522,Baum,29,2020-03-17 22:42:02+00:00,2021-11-12 09:10:36+00:00,604,18
523,Badass Rapper,29,2016-12-05 15:24:05+00:00,2021-12-02 05:52:07+00:00,1822,19
524,Misery Business,29,2021-04-30 10:53:43+00:00,2022-09-30 07:06:07+00:00,517,24
525,"Partita for Violin Solo No. 2 in D minor, BWV 1004: 5. Ciaccona",29,2019-03-19 18:02:05+00:00,2020-02-19 15:28:01+00:00,336,26
526,Hall of Fame (feat. will.i.am),29,2019-08-08 13:07:37+00:00,2023-01-17 11:24:33+00:00,1257,26
527,Still Waiting,29,2018-04-09 18:01:34+00:00,2022-09-12 12:13:18+00:00,1616,27
528,Saturday Morning,29,2017-11-14 21:41:33+00:00,2022-12-06 13:26:52+00:00,1847,20
529,Himmel,29,2022-01-13 16:43:29+00:00,2023-03-23 13:50:42+00:00,433,24
530,Payphone,29,2019-08-08 12:41:08+00:00,2023-02-21 17:59:04+00:00,1293,25
531,Can't Pretend,28,2018-11-10 14:38:22+00:00,2022-07-16 17:10:16+00:00,1344,21
532,Meinungsfrei,28,2019-01-01 16:23:57+00:00,2021-09-30 15:34:29+00:00,1002,21
533,Comeback des Jahres - Intro,28,2017-05-19 18:11:23+00:00,2021-05-17 17:49:40+00:00,1458,19
534,Thunder,28,2017-05-16 14:10:46+00:00,2021-12-02 05:53:01+00:00,1660,13
535,Alli-Alligatoah,28,2018-11-18 12:26:54+00:00,2021-10-01 07:40:01+00:00,1047,20
536,Ala,28,2019-12-18 13:39:11+00:00,2022-12-09 11:38:46+00:00,1086,21
