,artist_name,plays,songs,var,std
128,DREAMERS,75,1,,
129,JORIS,75,3,588.0,24.24871130596428
130,Majestica,74,1,,
131,Mazde,74,1,,
132,RŮDE,74,1,,
133,girl in red,73,4,8.25,2.8722813232690143
134,Das Lumpenpack,73,2,84.5,9.192388155425117
135,Joywave,73,1,,
136,Käptn Peng,72,4,60.666666666666664,7.788880963698615
137,Giant Rooks,72,4,246.0,15.684387141358123
138,MAGIC!,71,1,,
139,The Deli,71,2,1740.5,41.71930009000631
140,Gerard Way,71,1,,
141,Beauty School Dropout,71,1,,
142,jhfly,70,2,450.0,21.213203435596427
143,Sadi,70,2,2.0,1.4142135623730951
144,BABYJOY,70,2,800.0,28.284271247461902
145,FINNEAS,69,2,840.5,28.991378028648448
146,Kodaline,69,1,,
147,biosphere,68,2,2048.0,45.254833995939045
148,Danger Dan,67,2,840.5,28.991378028648448
149,CONNY,67,3,66.33333333333333,8.144527815247077
150,Descendents,67,1,,
151,KYTES,67,5,68.80000000000001,8.29457654133109
152,Alli Neumann,65,3,206.33333333333331,14.364307617610162
153,Ben E. King,65,1,,
154,Money Boy,64,2,2.0,1.4142135623730951
155,Dexys Midnight Runners,64,1,,
156,Maroon 5,63,3,76.0,8.717797887081348
157,Gary Washington,63,4,10.25,3.2015621187164243
158,LISTENBEE,63,1,,
159,Bruno Mars,63,2,84.5,9.192388155425117
160,Johann Sebastian Bach,63,3,21.0,4.58257569495584
161,Tom Odell,63,2,24.5,4.949747468305833
162,Ours Samplus,62,2,1800.0,42.42640687119285
163,cleopatrick,62,1,,
164,Idealism,62,3,280.3333333333333,16.743157806499145
165,M83,62,1,,
166,Antonio Vivaldi,62,3,142.33333333333334,11.930353445448855
167,Ludovico Einaudi,62,2,288.0,16.97056274847714
168,Ninjoi.,61,1,,
169,Hot Chelle Rae,61,1,,
170,Olly Murs,60,1,,
171,Electric Light Orchestra,60,1,,
172,Imaginary Ambition,60,1,,
173,mommy,59,2,312.5,17.67766952966369
174,Sarah Connor,59,2,180.5,13.435028842544403
175,Roberto Cacciapaglia,59,1,,
176,Ray Charles,59,1,,
177,Carlo5,58,1,,
178,ScrubMakesMusic,57,4,4.916666666666667,2.217355782608345
179,Shawn Mendes,57,2,220.5,14.849242404917497
180,CRO,57,4,366.9166666666667,19.155068954891984
