,artist_name,plays,songs,var,std
690,6ix9ine,9,3,4.0,2.0
691,Snakehips,9,3,7.0,2.6457513110645907
692,Jmbeatz,9,1,,
693,BIA,9,1,,
694,Desiigner,9,1,,
695,Gustavo Santaolalla,9,2,0.5,0.7071067811865476
696,Wolfgang Petry,9,5,3.200000000000001,1.7888543819998322
697,Scouting For Girls,9,1,,
698,Bibi und Tina,9,1,,
699,Dead Or Alive,9,2,4.5,2.1213203435596424
700,Musicologia dau Comtat,9,1,,
701,Yann Tiersen,9,3,12.0,3.4641016151377544
702,Princess Nokia,9,1,,
703,Karaokefun.cc VA,9,1,,
704,Olivia Rodrigo,9,4,1.5833333333333333,1.2583057392117916
705,Summer Walker,9,1,,
706,Locnville,9,1,,
707,Hurts,9,6,1.5,1.224744871391589
708,Qveen Herby,9,2,24.5,4.949747468305833
709,Tay Money,9,1,,
710,Leony,9,1,,
711,Rick Astley,8,1,,
712,BROCKHAMPTON,8,6,0.2666666666666667,0.5163977794943223
713,Ronan Keating,8,2,8.0,2.8284271247461903
714,Kylie Minogue,8,3,1.3333333333333333,1.1547005383792515
715,Shania Twain,8,3,2.333333333333333,1.5275252316519465
716,Gioachino Rossini,8,2,0.0,0.0
717,Michael Giacchino,8,8,0.0,0.0
718,Basstard,8,1,,
719,Streex,8,1,,
720,darkviktory,8,4,2.0,1.4142135623730951
721,Reyanna Maria,8,1,,
722,Mr. Probz,8,3,4.333333333333334,2.081665999466133
723,Knorkator,8,4,4.0,2.0
724,Mahogany Lox,8,1,,
725,Kurdo,8,5,0.8,0.8944271909999159
726,Michael Bublé,8,4,4.0,2.0
727,Frédéric Chopin,8,6,0.6666666666666667,0.816496580927726
728,K-391,8,4,2.0,1.4142135623730951
729,Little Mix,8,5,0.3,0.5477225575051661
730,Men At Work,8,1,,
731,Red Hot Chili Peppers,8,5,0.8,0.8944271909999159
732,Erica Banks,8,1,,
733,Dzeko & Torres,8,1,,
734,DJ Khaled,8,7,0.1428571428571429,0.3779644730092273
735,Latto,8,1,,
736,Bee Gees,8,3,0.33333333333333337,0.5773502691896258
737,Meek Mill,8,5,0.8,0.8944271909999159
738,Kelvin Jones,8,3,0.33333333333333337,0.5773502691896258
739,Sohodolls,8,1,,
740,One Direction,8,5,1.8000000000000003,1.3416407864998738
741,Prinz Pi,8,4,2.0,1.4142135623730951
742,Eurythmics,8,2,18.0,4.242640687119285
743,Bon Jovi,8,3,2.333333333333333,1.5275252316519465
744,Gliese,8,7,0.1428571428571429,0.3779644730092273
745,Ghazy030,8,1,,
746,Antifuchs,8,1,,
747,Amy Winehouse,8,5,0.8,0.8944271909999159
748,Irene Cara,8,2,8.0,2.8284271247461903
749,Kelis,8,1,,
750,DJ Antoine,8,5,0.8,0.8944271909999159
751,"Original German Cast Of: ""Elisabeth""",7,1,,
752,Itro,7,3,5.333333333333334,2.3094010767585034
753,Owl City,7,4,2.25,1.5
754,Otto Knows,7,1,,
755,Barbatuques,7,1,,
756,Kelvyn Colt,7,4,2.25,1.5
757,50 Cent,7,5,0.8000000000000003,0.8944271909999161
758,Razz,7,2,4.5,2.1213203435596424
759,Donna Summer,7,2,4.5,2.1213203435596424
760,Gustav Mahler,7,1,,
761,Foreigner,7,3,5.333333333333334,2.3094010767585034
762,MoTrip,7,2,0.5,0.7071067811865476
763,Big Sean,7,5,0.3,0.5477225575051661
764,Julia Wolfe,7,1,,
765,Paul Young,7,2,4.5,2.1213203435596424
766,Die Antwoord,7,4,2.25,1.5
767,102 Boyz,7,1,,
768,Outkast,7,2,12.5,3.5355339059327378
769,Namika,7,4,0.9166666666666666,0.9574271077563381
770,Agnes Obel,7,2,0.5,0.7071067811865476
771,Birdy,7,4,0.9166666666666666,0.9574271077563381
772,Hildegard von Bingen,7,1,,
773,Pérotin,7,1,,
774,Philipp Dittberner,7,2,12.5,3.5355339059327378
775,Watsky,7,1,,
776,Destiny's Child,7,1,,
777,Mire Kay,7,1,,
778,EFF,7,1,,
779,Tinie Tempah,7,1,,
780,Cousin Stizz,7,1,,
781,K.Flay,7,2,12.5,3.5355339059327378
782,Mumford & Sons,7,3,5.333333333333334,2.3094010767585034
783,Talstrasse 3-5,7,1,,
784,Mariah Carey,7,2,12.5,3.5355339059327378
785,Volker Rosin,7,7,0.0,0.0
786,Enrique Iglesias,7,3,2.333333333333333,1.5275252316519465
787,The Ting Tings,7,1,,
788,filous,7,2,12.5,3.5355339059327378
789,Torfrock,7,6,0.16666666666666666,0.408248290463863
790,Joachim Witt,7,2,12.5,3.5355339059327378
791,Azealia Banks,7,1,,
792,Daya,7,2,12.5,3.5355339059327378
793,Leoniden,7,3,2.333333333333333,1.5275252316519465
794,Kristen Bell,6,1,,
795,Johannes Oerding,6,3,1.0,1.0
796,Kurt Uenala,6,4,1.0,1.0
797,Gloria Gaynor,6,2,2.0,1.4142135623730951
798,Militärmusik Salzburg,6,4,1.0,1.0
799,Clint Mansell,6,1,,
800,Parson James,6,3,1.0,1.0
801,FiNCH,6,5,0.20000000000000007,0.44721359549995804
802,BB Jürgen,6,2,8.0,2.8284271247461903
803,Stevie Wishart,6,1,,
804,Cutting Crew,6,1,,
805,Mert,6,4,0.3333333333333333,0.5773502691896257
806,Marvin Game,6,4,1.0,1.0
807,Alphabeat,6,1,,
808,Archie,6,6,0.0,0.0
809,Bernd das Brot,6,2,0.0,0.0
810,The Outfield,6,1,,
811,4th Dimension,6,5,0.20000000000000007,0.44721359549995804
812,Roxette,6,4,1.0,1.0
813,Labrinth,6,4,0.3333333333333333,0.5773502691896257
814,Christina Aguilera,6,3,3.0,1.7320508075688772
815,The Corrs,6,2,2.0,1.4142135623730951
816,Rita Ora,6,6,0.0,0.0
817,Westlife,6,2,2.0,1.4142135623730951
818,Calum Scott,6,3,0.0,0.0
819,Natasha Bedingfield,6,2,8.0,2.8284271247461903
820,Klaus Badelt,6,1,,
821,VDSIS,6,6,0.0,0.0
822,Gigi D'Agostino,6,1,,
823,Neil Diamond,6,1,,
824,Bruce Springsteen,6,6,0.0,0.0
825,Helge Schneider,6,3,1.0,1.0
826,Leon Machère,6,3,1.0,1.0
827,Aretha Franklin,6,3,1.0,1.0
828,Céline Dion,6,3,1.0,1.0
829,Majoe,6,3,1.0,1.0
830,Dido,6,2,8.0,2.8284271247461903
831,Gavin Luke,6,5,0.20000000000000007,0.44721359549995804
832,Andrew Lloyd Webber,6,5,0.20000000000000007,0.44721359549995804
833,4 Non Blondes,6,1,,
834,Dirty Heads,6,1,,
835,Adel Tawil,6,4,1.0,1.0
836,Jermaine Jackson,6,1,,
837,Alvaro Soler,6,5,0.20000000000000007,0.44721359549995804
838,Silbermond,6,3,1.0,1.0
839,Ben Salisbury,6,1,,
840,Johann Strauss II,6,2,8.0,2.8284271247461903
841,Hailee Steinfeld,6,2,0.0,0.0
842,Sweet Baby May,6,3,3.0,1.7320508075688772
843,Ultra Naté,6,2,2.0,1.4142135623730951
844,Andreas Gabalier,6,2,8.0,2.8284271247461903
845,Fritz Kalkbrenner,6,5,0.20000000000000007,0.44721359549995804
846,Brooke Candy,6,1,,
847,Rachel Platten,6,3,3.0,1.7320508075688772
848,Audio88,6,1,,
849,Hardwell,6,5,0.20000000000000007,0.44721359549995804
850,Miike Snow,6,5,0.20000000000000007,0.44721359549995804
851,Soft Cell,5,1,,
852,Soulsister,5,1,,
853,Kim Wilde,5,2,4.5,2.1213203435596424
854,Four Tops,5,1,,
855,t.A.T.u.,5,1,,
856,Michael Price,5,1,,
857,R.E.M.,5,2,4.5,2.1213203435596424
858,Belinda Carlisle,5,1,,
859,Urban Cookie Collective,5,1,,
860,Kurt Nilsen,5,1,,
861,Eagle-Eye Cherry,5,1,,
862,Whitesnake,5,2,4.5,2.1213203435596424
863,Tones And I,5,2,4.5,2.1213203435596424
864,Alcazar,5,2,0.5,0.7071067811865476
865,Fall Out Boy,5,2,0.5,0.7071067811865476
866,Genesis,5,4,0.25,0.5
867,Darude,5,1,,
868,Take That,5,2,4.5,2.1213203435596424
869,Slash,5,2,0.5,0.7071067811865476
870,Travis,5,2,4.5,2.1213203435596424
871,The Weather Girls,5,1,,
872,Kodaline,5,3,1.3333333333333335,1.1547005383792517
873,Enya,5,2,4.5,2.1213203435596424
874,Nico & Vinz,5,3,1.3333333333333335,1.1547005383792517
875,The Cratez,5,1,,
876,Söhne Mannheims,5,1,,
877,Tokio Hotel,5,1,,
878,Young Thug,5,4,0.25,0.5
879,The Lumineers,5,2,0.5,0.7071067811865476
880,Johnny Klimek,5,1,,
881,Ella Henderson,5,1,,
882,Lily Allen,5,2,0.5,0.7071067811865476
883,Fler,5,2,4.5,2.1213203435596424
884,Kool Savas,5,5,0.0,0.0
885,OK KID,5,4,0.25,0.5
886,Vicky Leandros,5,3,1.3333333333333335,1.1547005383792517
887,Fred again..,5,1,,
888,Blond,5,5,0.0,0.0
889,The Prodigy,5,5,0.0,0.0
890,Massiv,5,3,1.3333333333333335,1.1547005383792517
891,Of Monsters and Men,5,2,4.5,2.1213203435596424
892,Florence + The Machine,5,4,0.25,0.5
893,ApoRed,5,5,0.0,0.0
894,Shaggy,5,3,0.3333333333333333,0.5773502691896257
895,Burkhard Dallwitz,5,1,,
896,Fine Young Cannibals,5,1,,
897,Psaiko.Dino,5,4,0.25,0.5
898,Fard,5,5,0.0,0.0
899,Mura Masa,5,3,0.3333333333333333,0.5773502691896257
900,a-ha,5,1,,
901,Haudegen,5,5,0.0,0.0
