uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
spotify:track:5wTlERh8nu1KbQ33bl6Pln,0.816,0.651,161083,0.497,0.000398,0,0.106,-10.329,1,0.0299,117.092,4,0.403
spotify:track:2tVmNMAQr3ppI0z3M0242w,0.722,0.444,227741,0.3,0.000152,6,0.167,-9.859,1,0.0331,115.788,3,0.235
spotify:track:29PQWh4PshBWD3SukkQSwb,0.000455,0.542,207944,0.593,0.00566,7,0.107,-7.049,1,0.0289,109.934,4,0.039
spotify:track:2B0HrcxGa5bYwYKUgiqfek,0.853,0.565,279477,0.242,2.64e-05,1,0.0904,-12.983,1,0.0324,152.977,4,0.419
spotify:track:7l4nryGdkXCe6xcSfDgewe,0.871,0.593,234483,0.463,0.0272,0,0.0962,-8.347,1,0.0321,101.979,4,0.166
spotify:track:0No1Mcz6DJ9HlPAICTqI2v,0.0334,0.646,231593,0.561,0.0,9,0.0802,-8.047,0,0.0559,95.002,3,0.452
spotify:track:5OlM5krdWS4ivOGVz3X8c0,0.493,0.54,196080,0.505,8.97e-05,5,0.0893,-8.325,1,0.0347,78.188,3,0.27
spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,0.525,0.634,186440,0.543,0.0,1,0.232,-13.391,0,0.182,121.56,4,0.468
spotify:track:52fqquVYihRW17ySEcy5mA,0.236,0.612,176320,0.852,0.0,10,0.102,-2.83,1,0.0713,146.561,4,0.923
spotify:track:0LbK1bodGLc9xmV1cS9jvL,0.161,0.587,262813,0.624,0.000191,0,0.118,-4.657,1,0.025,93.428,4,0.251
spotify:track:6nLvaCZFR1wEzW3sIKpsnr,0.745,0.772,233733,0.371,0.0,5,0.167,-5.743,0,0.0348,96.574,4,0.684
spotify:track:7ee1XEOzZgzTQWNaiHZvKY,0.0693,0.784,153413,0.567,0.0,0,0.161,-4.767,1,0.179,133.89,4,0.917
spotify:track:3uliGwmB52ZA7brgpZMzyH,0.34,0.484,155413,0.294,0.00609,0,0.146,-16.544,1,0.031,165.007,4,0.562
spotify:track:4NDpn6yfD5aqafYWFEaJDz,0.0405,0.705,169373,0.634,3.53e-05,5,0.349,-6.083,0,0.0282,98.008,4,0.639
spotify:track:3FAclTFfvUuQYnEsptbK8w,0.134,0.434,241293,0.422,2.05e-05,7,0.0861,-13.964,0,0.0375,123.201,4,0.377
spotify:track:0DMRKqrpd0QO4RWiEdMib0,0.0137,0.694,257187,0.495,0.00351,9,0.0644,-14.222,1,0.0329,103.375,4,0.799
spotify:track:5LC7nItIEFp4nzdFdEGbf9,0.0401,0.883,214493,0.458,0.000419,9,0.0603,-6.801,0,0.0411,91.425,4,0.816
spotify:track:7AraSdlKIOoPCLRKkI3WjP,0.638,0.624,204760,0.687,0.0,7,0.112,-6.403,0,0.172,86.038,4,0.407
spotify:track:27jecBSosDFnuTM3cbdkDb,0.963,0.482,117840,0.143,9.05e-05,5,0.107,-11.103,1,0.0429,151.835,3,0.449
spotify:track:1ZczOoLuCyDO5dKUPndxf5,0.84,0.492,203574,0.326,0.0,4,0.696,-6.416,0,0.0505,112.218,4,0.376
spotify:track:4o3psLfmwQ1z3GzU6LuScy,0.137,0.669,198067,0.757,0.0,4,0.108,-5.856,1,0.0563,134.026,4,0.421
spotify:track:78PWeRjBjLVcdkKjqngkur,0.19,0.711,216000,0.675,0.0,11,0.235,-5.082,1,0.0388,129.046,4,0.561
spotify:track:3GRoxbBauU8Ui1zUJwn9aD,0.123,0.662,209307,0.797,4.15e-06,11,0.182,-5.777,1,0.0338,146.01,4,0.653
spotify:track:7beFKLQDg2MK8jl8krs9On,0.613,0.626,210320,0.368,1.09e-06,8,0.11,-9.838,1,0.0521,71.036,3,0.186
spotify:track:3lzSpq0cp3mmld7Dpeys8G,0.0752,0.669,201960,0.602,0.0,1,0.113,-7.067,0,0.05,126.922,4,0.589
spotify:track:35HjDMPVUOFVC104p9bWbz,0.0349,0.833,241039,0.464,9.43e-05,7,0.382,-9.269,0,0.0679,119.982,4,0.243
spotify:track:0b9oOr2ZgvyQu88wzixux9,0.117,0.854,225773,0.463,0.0,5,0.354,-6.159,1,0.137,120.024,4,0.549
spotify:track:6iC7vapdKp0XlKhxOkp8QJ,0.0164,0.886,179512,0.84,0.00622,2,0.329,-3.386,1,0.0502,123.035,4,0.203
spotify:track:2hoigtnMAjSejRi1hHk99w,0.3,0.688,193321,0.688,0.0,3,0.0982,-5.84,1,0.0357,114.011,4,0.451
spotify:track:1QdG3nKKTrNWlN9x9t1cH6,0.0246,0.439,202440,0.847,0.0,0,0.139,-6.258,1,0.242,114.099,4,0.298
spotify:track:64fGW0tyU2caV8ddFLUUBj,0.993,0.343,315747,0.0121,0.928,1,0.0826,-27.709,1,0.0472,71.523,4,0.0395
spotify:track:1cxOctfyUKFusktGDOlMSu,0.994,0.383,347613,0.155,0.935,9,0.0945,-18.93,1,0.0615,139.622,1,0.182
spotify:track:1T02TSO5HAzOGFUrZnu8JM,0.936,0.673,145853,0.17,0.0,0,0.0974,-14.733,1,0.0344,109.97,4,0.197
spotify:track:4ZJJht0LwcRMCRL0UBcybZ,0.0218,0.54,249253,0.746,0.15,2,0.122,-6.05,1,0.0454,140.006,4,0.219
spotify:track:5QlRkjvOlvjEgn2ZUkwbTy,0.936,0.169,136000,0.156,0.928,4,0.107,-18.194,0,0.033,177.754,4,0.0659
spotify:track:4YwU2Xmav2GIa3AGMBowg1,0.107,0.67,235653,0.851,0.00147,6,0.057,-8.353,0,0.0421,103.015,4,0.471
spotify:track:075V2KZd5WuSOD3laDvbRe,0.777,0.124,363573,0.165,0.849,7,0.0735,-16.056,1,0.0369,175.161,4,0.0427
spotify:track:3Ms9qUt6Xa22VJJsi6ExtK,0.954,0.333,233133,0.0839,0.0,10,0.0975,-13.297,0,0.0407,138.889,4,0.325
spotify:track:2LPEIu912tQaUfYq5IXz4L,0.975,0.146,313267,0.0629,0.35,5,0.127,-19.185,1,0.0473,63.441,4,0.0717
spotify:track:0An30hrLH1ZPSFyDyUM0RO,0.0225,0.49,200773,0.767,0.00109,6,0.326,-7.427,1,0.0432,149.969,3,0.55
spotify:track:2E59wdcCUh3BAqepSNNMga,0.0012,0.543,235440,0.868,0.0,9,0.116,-3.836,1,0.0367,116.145,4,0.308
spotify:track:3PQjmUIMSZ8jQJwBB6LXlr,0.000763,0.254,177667,0.855,0.00142,6,0.0869,-4.27,1,0.102,199.661,4,0.455
spotify:track:7hn8Q8WAxFdL4aZ159GI7C,0.618,0.272,305893,0.281,0.0,10,0.111,-8.131,1,0.0307,138.856,3,0.152
spotify:track:5wMF5Ol4ZqdAmzYDEeElNL,0.954,0.369,233133,0.089,0.0,10,0.0946,-13.192,0,0.0419,129.009,4,0.35
spotify:track:6z5Yh7kOKeLjqIsNdokIpU,0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,1,0.0267,139.028,3,0.161
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,0.176,0.694,184560,0.77,1.1e-05,6,0.118,-5.335,1,0.149,125.905,4,0.163
spotify:track:1snWlbcbgQpJfknoI30DWG,0.164,0.425,211867,0.642,0.0,4,0.118,-5.06,0,0.0502,170.008,4,0.112
spotify:track:4ut5G4rgB1ClpMTMfjoIuy,0.0129,0.414,230762,0.486,0.0,6,0.111,-6.431,0,0.0311,128.038,4,0.368
spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,0.0529,0.813,173067,0.761,0.0119,10,0.337,-5.687,0,0.085,124.957,4,0.29
spotify:track:1MobXMNPi9e1onV0ElsPEj,0.00557,0.698,198281,0.875,1.93e-06,11,0.0618,-4.665,1,0.0823,115.011,4,0.39
spotify:track:5N4erncE7kuUccm7zEmwzk,0.0104,0.588,238173,0.67,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,4,0.505
spotify:track:3FUJ7XIj8YFsNBgotjf2YO,0.0137,0.75,234194,0.971,0.898,10,0.123,-5.304,0,0.0583,123.999,4,0.57
spotify:track:1m09K9yDGb3HaafQnMkuCG,0.00999,0.715,201905,0.954,0.69,10,0.0932,-6.89,0,0.0501,125.989,4,0.874
spotify:track:1eLomQhgMAEUMgpc7Q7aDJ,0.0073,0.825,235594,0.925,0.814,4,0.057,-7.502,1,0.0464,123.024,4,0.567
spotify:track:2nQVmbUxT6QwDVDE9yFnns,0.000755,0.836,222720,0.993,0.823,5,0.0561,-4.388,0,0.0704,125.024,4,0.398
spotify:track:30NmUqMPwIbjZHxEWjLjBa,0.0144,0.762,174720,0.946,0.297,5,0.0519,-2.57,0,0.0988,125.002,4,0.828
spotify:track:5rvx9aTCy3F3Jvij3ql6iL,0.00123,0.786,228387,0.915,0.361,7,0.06,-5.444,1,0.0432,124.034,4,0.542
spotify:track:1Ye3Z2XpXhYNQhnLUux9uj,0.0055,0.776,400451,0.954,0.549,7,0.113,-6.342,1,0.113,125.053,4,0.663
spotify:track:7f6oYamIR7aZIgLrcp7SPn,0.995,0.711,164453,0.0156,0.918,9,0.119,-20.089,0,0.0701,75.968,4,0.286
spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,0.923,0.307,255893,0.371,0.0253,3,0.11,-8.498,1,0.0288,115.241,3,0.189
spotify:track:4Kh0kLj0LUZvDeJN9T8cqk,0.119,0.572,270040,0.534,0.326,2,0.0816,-9.348,1,0.0352,103.038,4,0.337
spotify:track:3WPVBSy8gle6w4Fd0NVXS7,0.286,0.148,280200,0.808,3.17e-05,9,0.122,-6.888,0,0.0869,175.505,3,0.342
spotify:track:2tsfrXrljBVa0fCXyQoISy,0.000646,0.458,212760,0.938,0.0,10,0.137,-4.473,1,0.0376,173.99,4,0.876
spotify:track:0iWLD7eUjAS5Ln1Se4H7Wi,0.5,0.713,229627,0.501,0.0913,2,0.0832,-11.872,1,0.0338,117.975,4,0.549
spotify:track:0bMYIPW5vK6BWsCzjs02SM,0.00443,0.449,201213,0.905,0.000531,9,0.0447,-6.603,1,0.0525,146.354,4,0.321
spotify:track:5B0G5hiPZ3uU8gK0R6ECSv,0.00102,0.489,197000,0.951,0.0338,1,0.249,-4.553,1,0.059,119.945,4,0.648
spotify:track:0M3HkE321xpCbCYqVKzr1q,0.337,0.576,257720,0.835,0.0,2,0.082,-6.826,1,0.0486,150.017,4,0.476
spotify:track:3NW5y01Tna1lSVzAoe7imO,0.965,0.245,267120,0.242,0.00833,4,0.271,-12.963,1,0.0318,135.714,3,0.138
spotify:track:4s2R37IwPPfm9lsqDFXfG9,0.13,0.45,213533,0.393,0.11,6,0.116,-9.472,1,0.0276,75.974,4,0.138
spotify:track:4Ed7NDNt5NmyVKcCKLRjjG,0.00537,0.67,184600,0.782,0.000481,1,0.104,-7.855,0,0.032,119.988,4,0.261
spotify:track:1HEw1ZYTMRl03yemXzuiq9,0.126,0.718,213279,0.609,1.44e-06,0,0.0533,-8.821,1,0.0531,104.98,4,0.339
