,duration_ms_x,explicit,name,popularity,uri,orig_uri,isrc,acousticness,danceability,duration_ms_y,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
71,315746,False,"Suite Bergamasque, L. 75: III. Clair De Lune",26,spotify:track:64fGW0tyU2caV8ddFLUUBj,spotify:track:64fGW0tyU2caV8ddFLUUBj,USDO19900305,0.993,0.343,315747,0.0121,0.928,1,0.0826,-27.709,1,0.0472,71.523,4,0.0395
72,347613,False,Bella's Lullaby - Extended Mix,32,spotify:track:1cxOctfyUKFusktGDOlMSu,spotify:track:5nm79AK7tZZ6LeUlDopYTZ,GBGVZ1010962,0.994,0.383,347613,0.155,0.935,9,0.0945,-18.93,1,0.0615,139.622,1,0.182
73,145853,False,Requiem On Water,48,spotify:track:1T02TSO5HAzOGFUrZnu8JM,spotify:track:1T02TSO5HAzOGFUrZnu8JM,TCABK1233360,0.936,0.673,145853,0.17,0.0,0,0.0974,-14.733,1,0.0344,109.97,4,0.197
74,249253,False,Endtapes - Soundtrack Version,34,spotify:track:4ZJJht0LwcRMCRL0UBcybZ,spotify:track:4ZJJht0LwcRMCRL0UBcybZ,USAT21102305,0.0218,0.54,249253,0.746,0.15,2,0.122,-6.05,1,0.0454,140.006,4,0.219
75,136000,False,"Bella's Lullaby - From ""Twilight""",36,spotify:track:5QlRkjvOlvjEgn2ZUkwbTy,spotify:track:5QlRkjvOlvjEgn2ZUkwbTy,CAM461032063,0.936,0.169,136000,0.156,0.928,4,0.107,-18.194,0,0.033,177.754,4,0.0659
76,235653,False,Neighbors - Soundtrack Version,30,spotify:track:4YwU2Xmav2GIa3AGMBowg1,spotify:track:4YwU2Xmav2GIa3AGMBowg1,USAT21102309,0.107,0.67,235653,0.851,0.00147,6,0.057,-8.353,0,0.0421,103.015,4,0.471
77,363573,False,Love Death Birth,37,spotify:track:075V2KZd5WuSOD3laDvbRe,spotify:track:075V2KZd5WuSOD3laDvbRe,USAT21102317,0.777,0.124,363573,0.165,0.849,7,0.0735,-16.056,1,0.0369,175.161,4,0.0427
78,233133,False,Heart Of Stone,42,spotify:track:3Ms9qUt6Xa22VJJsi6ExtK,spotify:track:3Ms9qUt6Xa22VJJsi6ExtK,USAT21206050,0.954,0.333,233133,0.0839,0.0,10,0.0975,-13.297,0,0.0407,138.889,4,0.325
79,313266,False,Lloverá,28,spotify:track:2LPEIu912tQaUfYq5IXz4L,spotify:track:2LPEIu912tQaUfYq5IXz4L,USVP11200021,0.975,0.146,313267,0.0629,0.35,5,0.127,-19.185,1,0.0473,63.441,4,0.0717
80,200773,False,Shooting the Moon,40,spotify:track:0An30hrLH1ZPSFyDyUM0RO,spotify:track:0An30hrLH1ZPSFyDyUM0RO,USR3B1000044,0.0225,0.49,200773,0.767,0.00109,6,0.326,-7.427,1,0.0432,149.969,3,0.55
81,235440,False,I Caught Myself - Twilight Soundtrack Version,44,spotify:track:2E59wdcCUh3BAqepSNNMga,spotify:track:2E59wdcCUh3BAqepSNNMga,USAT20804111,0.0012,0.543,235440,0.868,0.0,9,0.116,-3.836,1,0.0367,116.145,4,0.308
82,177666,False,Sister Rosetta - 2011 Version,32,spotify:track:3PQjmUIMSZ8jQJwBB6LXlr,spotify:track:3PQjmUIMSZ8jQJwBB6LXlr,USAT21102311,0.000763,0.254,177667,0.855,0.00142,6,0.0869,-4.27,1,0.102,199.661,4,0.455
83,305893,False,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,61,spotify:track:7hn8Q8WAxFdL4aZ159GI7C,spotify:track:7hn8Q8WAxFdL4aZ159GI7C,USAT21206055,0.618,0.272,305893,0.281,0.0,10,0.111,-8.131,1,0.0307,138.856,3,0.152
84,233133,False,Heart of Stone,35,spotify:track:5wMF5Ol4ZqdAmzYDEeElNL,spotify:track:5wMF5Ol4ZqdAmzYDEeElNL,USAT21206050,0.954,0.369,233133,0.089,0.0,10,0.0946,-13.192,0,0.0419,129.009,4,0.35
85,285120,False,a thousand years,64,spotify:track:6z5Yh7kOKeLjqIsNdokIpU,spotify:track:6z5Yh7kOKeLjqIsNdokIpU,USAT21102141,0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,1,0.0267,139.028,3,0.161
86,184560,False,In My Mind,80,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,QZ22B1859046,0.176,0.694,184560,0.77,1.1e-05,6,0.118,-5.335,1,0.149,125.905,4,0.163
87,211866,False,Darkside,58,spotify:track:1snWlbcbgQpJfknoI30DWG,spotify:track:1snWlbcbgQpJfknoI30DWG,NOG841806010,0.164,0.425,211867,0.642,0.0,4,0.118,-5.06,0,0.0502,170.008,4,0.112
88,230761,False,High On Life (feat. Bonn),68,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,NLM5S1800265,0.0129,0.414,230762,0.486,0.0,6,0.111,-6.431,0,0.0311,128.038,4,0.368
89,173066,True,Moonlight,60,spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,USHM21844771,0.0529,0.813,173067,0.761,0.0119,10,0.337,-5.687,0,0.085,124.957,4,0.29
90,198281,False,Be Somebody (feat. Kiiara),6,spotify:track:1MobXMNPi9e1onV0ElsPEj,spotify:track:1MobXMNPi9e1onV0ElsPEj,USUS11800257,0.00557,0.698,198281,0.875,1.93e-06,11,0.0618,-4.665,1,0.0823,115.011,4,0.39
91,238173,False,Electricity,68,spotify:track:5N4erncE7kuUccm7zEmwzk,spotify:track:5N4erncE7kuUccm7zEmwzk,USQX91802285,0.0104,0.588,238173,0.67,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,4,0.505
92,234193,False,Say Nothing,11,spotify:track:3FUJ7XIj8YFsNBgotjf2YO,spotify:track:02V1OfUiCfPMs0TEtbIgN0,GBJAJ1800756,0.0137,0.75,234194,0.971,0.898,10,0.123,-5.304,0,0.0583,123.999,4,0.57
93,201904,False,Colombiano,14,spotify:track:1m09K9yDGb3HaafQnMkuCG,spotify:track:1m09K9yDGb3HaafQnMkuCG,GBZ9E1809502,0.00999,0.715,201905,0.954,0.69,10,0.0932,-6.89,0,0.0501,125.989,4,0.874
94,235594,False,Count On You - ATFC's C-thru Remix,10,spotify:track:1eLomQhgMAEUMgpc7Q7aDJ,spotify:track:1eLomQhgMAEUMgpc7Q7aDJ,NLF711807269,0.0073,0.825,235594,0.925,0.814,4,0.057,-7.502,1,0.0464,123.024,4,0.567
95,222720,False,Spaceman,21,spotify:track:2nQVmbUxT6QwDVDE9yFnns,spotify:track:2JcG9PRhUWgw2ZdwHA24A6,GBJAJ1800591,0.000755,0.836,222720,0.993,0.823,5,0.0561,-4.388,0,0.0704,125.024,4,0.398
96,174720,False,Time To Groove - LMC X Mark McCabe / PBH & Jack Shizzle Remix,6,spotify:track:30NmUqMPwIbjZHxEWjLjBa,spotify:track:30NmUqMPwIbjZHxEWjLjBa,GBCFZ1800020,0.0144,0.762,174720,0.946,0.297,5,0.0519,-2.57,0,0.0988,125.002,4,0.828
97,228387,False,Talkin' - Radio Edit,7,spotify:track:5rvx9aTCy3F3Jvij3ql6iL,spotify:track:4eNueQmh7xhEnnUOLvUNdF,FR59R1859651,0.00123,0.786,228387,0.915,0.361,7,0.06,-5.444,1,0.0432,124.034,4,0.542
98,400451,False,Give Yourself Up,8,spotify:track:1Ye3Z2XpXhYNQhnLUux9uj,spotify:track:0EqacMOXNaVhZicFkAY4yZ,GBK6Y1828602,0.0055,0.776,400451,0.954,0.549,7,0.113,-6.342,1,0.113,125.053,4,0.663
99,164453,False,Compromise / Bella's Theme,34,spotify:track:7f6oYamIR7aZIgLrcp7SPn,spotify:track:7f6oYamIR7aZIgLrcp7SPn,USKO11000659,0.995,0.711,164453,0.0156,0.918,9,0.119,-20.089,0,0.0701,75.968,4,0.286
100,255893,False,Turning Page,68,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,USGES1190004,0.923,0.307,255893,0.371,0.0253,3,0.11,-8.498,1,0.0288,115.241,3,0.189
