uri,genre
spotify:artist:4dpARuHxo51G3z768sgnrY,british soul
spotify:artist:4dpARuHxo51G3z768sgnrY,uk pop
spotify:artist:4dpARuHxo51G3z768sgnrY,pop soul
spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,dance pop
spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,pop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,dance pop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,pop rap
spotify:artist:5tth2a3v0sWwV1C7bApBdX,rap
spotify:artist:5tth2a3v0sWwV1C7bApBdX,southern hip hop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,hip pop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,r&b
spotify:artist:5tth2a3v0sWwV1C7bApBdX,urban contemporary
spotify:artist:5tth2a3v0sWwV1C7bApBdX,hip hop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,east coast hip hop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,trap queen
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,hip pop
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,r&b
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,urban contemporary
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,contemporary r&b
spotify:artist:1KCSPY1glIKqW2TotWuXOR,dance pop
spotify:artist:1KCSPY1glIKqW2TotWuXOR,pop
spotify:artist:163tK9Wjr9P9DmM0AVK7lm,pop
spotify:artist:163tK9Wjr9P9DmM0AVK7lm,metropopolis
spotify:artist:163tK9Wjr9P9DmM0AVK7lm,art pop
spotify:artist:163tK9Wjr9P9DmM0AVK7lm,nz pop
spotify:artist:6sCbFbEjbYepqswM1vWjjs,pop
spotify:artist:6sCbFbEjbYepqswM1vWjjs,post-teen pop
spotify:artist:4NZvixzsSefsNiIqXn0NDe,indie pop
spotify:artist:04gDigrS5kc9YWfZHwBETP,pop
spotify:artist:4kYSro6naA4h99UJvo89HB,pop
spotify:artist:4kYSro6naA4h99UJvo89HB,rap
