duration_ms,explicit,name,popularity,uri,orig_uri,isrc
236617,False,Burn Bright,3,spotify:track:4Dmw4aHlwx1lnMcXihlih1,spotify:track:4Dmw4aHlwx1lnMcXihlih1,CAR1Q1400007
206200,False,Red Bow,3,spotify:track:5puvzPuzUqMoNwqDoknTzM,spotify:track:5puvzPuzUqMoNwqDoknTzM,QZ9531700003
215413,False,Man Overboard,43,spotify:track:2WMF5i6ClS9GEeM34MHEji,spotify:track:2WMF5i6ClS9GEeM34MHEji,QZ9Y21751383
161082,False,Landslide,27,spotify:track:5wTlERh8nu1KbQ33bl6Pln,spotify:track:2b8KbSuF8V1CaszcGbArab,GBLFP1750477
227741,False,Golden October,21,spotify:track:2tVmNMAQr3ppI0z3M0242w,spotify:track:5FIuOFJccj4q7OwOtXwYN7,DEZ651715086
207943,False,Lost,2,spotify:track:29PQWh4PshBWD3SukkQSwb,spotify:track:29PQWh4PshBWD3SukkQSwb,QZ9SA1700003
279477,False,Pictures,6,spotify:track:2B0HrcxGa5bYwYKUgiqfek,spotify:track:0fLXAZvxJUxVNQ8Bcw9EAE,GBLFP1780466
234482,False,Lighter,17,spotify:track:7l4nryGdkXCe6xcSfDgewe,spotify:track:1XNIqAZSjRsiuVROHvoKxh,NLN8R1600008
231593,False,Stranger,32,spotify:track:0No1Mcz6DJ9HlPAICTqI2v,spotify:track:0No1Mcz6DJ9HlPAICTqI2v,TCADI1731852
196080,False,Some Unholy War - Down Tempo,47,spotify:track:5OlM5krdWS4ivOGVz3X8c0,spotify:track:5OlM5krdWS4ivOGVz3X8c0,GBUM70709182
186440,True,Tears Dry On Their Own,75,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,GBUM70603494
176320,False,Monkey Man,49,spotify:track:52fqquVYihRW17ySEcy5mA,spotify:track:52fqquVYihRW17ySEcy5mA,GBUM70607203
262813,False,Will You Still Love Me Tomorrow? - 2011,63,spotify:track:0LbK1bodGLc9xmV1cS9jvL,spotify:track:5TiDasAFs5gwEx52NEcDhs,GBUM71110028
233733,False,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",75,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,GBUM70702678
153413,False,You're Wondering Now,48,spotify:track:7ee1XEOzZgzTQWNaiHZvKY,spotify:track:7ee1XEOzZgzTQWNaiHZvKY,GBUM70706267
155413,False,Love Is A Losing Game,69,spotify:track:3uliGwmB52ZA7brgpZMzyH,spotify:track:3uliGwmB52ZA7brgpZMzyH,GBUM70603489
169373,False,Our Day Will Come,65,spotify:track:4NDpn6yfD5aqafYWFEaJDz,spotify:track:2Arl7cRrFiuDiHQjdMEXOU,GBUM71110106
241293,True,Back To Black,82,spotify:track:3FAclTFfvUuQYnEsptbK8w,spotify:track:2s4BsyV3KhhrtsdtNfzoqb,GBUM70604698
155413,False,Love Is A Losing Game,69,spotify:track:3uliGwmB52ZA7brgpZMzyH,spotify:track:4IMBnBRqm9RALmLrRqfMor,GBUM70603489
257186,False,You Know I'm No Good,73,spotify:track:0DMRKqrpd0QO4RWiEdMib0,spotify:track:4SyowQi18ym4zJGJDBnsTj,GBUM70603488
214493,False,Stronger Than Me,67,spotify:track:5LC7nItIEFp4nzdFdEGbf9,spotify:track:0HvrW09sl0aoAEmlIcZ9s6,GBAAN0300358
204760,False,Wir Sind Groß,53,spotify:track:7AraSdlKIOoPCLRKkI3WjP,spotify:track:7AraSdlKIOoPCLRKkI3WjP,DEQ321600034
117840,False,From Me To You,36,spotify:track:27jecBSosDFnuTM3cbdkDb,spotify:track:4XyrKa4r49DjoF9qeaueFw,SEVVQ1300301
203574,False,Say a Little Prayer - Live,54,spotify:track:1ZczOoLuCyDO5dKUPndxf5,spotify:track:1ZczOoLuCyDO5dKUPndxf5,GBAHT1600336
198066,False,Frische Luft,46,spotify:track:4o3psLfmwQ1z3GzU6LuScy,spotify:track:4o3psLfmwQ1z3GzU6LuScy,DEUM71604947
216000,False,Weck mich nicht auf,40,spotify:track:78PWeRjBjLVcdkKjqngkur,spotify:track:78PWeRjBjLVcdkKjqngkur,DEUM71722589
209306,False,Feuerwerk,56,spotify:track:3GRoxbBauU8Ui1zUJwn9aD,spotify:track:3GRoxbBauU8Ui1zUJwn9aD,DEUM71604946
210320,False,An Wunder - Akustik Version,16,spotify:track:7beFKLQDg2MK8jl8krs9On,spotify:track:7beFKLQDg2MK8jl8krs9On,DEUM71801283
201960,False,Nur ein Herzschlag entfernt,44,spotify:track:3lzSpq0cp3mmld7Dpeys8G,spotify:track:3lzSpq0cp3mmld7Dpeys8G,DEUM71601969
241038,False,Regenbogen - Achtabahn Club Edit,10,spotify:track:35HjDMPVUOFVC104p9bWbz,spotify:track:35HjDMPVUOFVC104p9bWbz,DEUM71502935
225773,True,This Is America,67,spotify:track:0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,USRC11801773
179512,True,BOOM,64,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,spotify:track:7i5sdKCjFIYlD9idhZBijJ,CYA111800003
193320,False,Born To Be Yours,49,spotify:track:2hoigtnMAjSejRi1hHk99w,spotify:track:2hoigtnMAjSejRi1hHk99w,SEBGA1802355
202440,True,FRIENDS - Borgeous Remix,37,spotify:track:1QdG3nKKTrNWlN9x9t1cH6,spotify:track:1QdG3nKKTrNWlN9x9t1cH6,GBAHS1800240
315746,False,"Suite Bergamasque, L. 75: III. Clair De Lune",26,spotify:track:64fGW0tyU2caV8ddFLUUBj,spotify:track:64fGW0tyU2caV8ddFLUUBj,USDO19900305
347613,False,Bella's Lullaby - Extended Mix,32,spotify:track:1cxOctfyUKFusktGDOlMSu,spotify:track:5nm79AK7tZZ6LeUlDopYTZ,GBGVZ1010962
145853,False,Requiem On Water,48,spotify:track:1T02TSO5HAzOGFUrZnu8JM,spotify:track:1T02TSO5HAzOGFUrZnu8JM,TCABK1233360
249253,False,Endtapes - Soundtrack Version,34,spotify:track:4ZJJht0LwcRMCRL0UBcybZ,spotify:track:4ZJJht0LwcRMCRL0UBcybZ,USAT21102305
136000,False,"Bella's Lullaby - From ""Twilight""",36,spotify:track:5QlRkjvOlvjEgn2ZUkwbTy,spotify:track:5QlRkjvOlvjEgn2ZUkwbTy,CAM461032063
235653,False,Neighbors - Soundtrack Version,30,spotify:track:4YwU2Xmav2GIa3AGMBowg1,spotify:track:4YwU2Xmav2GIa3AGMBowg1,USAT21102309
363573,False,Love Death Birth,37,spotify:track:075V2KZd5WuSOD3laDvbRe,spotify:track:075V2KZd5WuSOD3laDvbRe,USAT21102317
233133,False,Heart Of Stone,42,spotify:track:3Ms9qUt6Xa22VJJsi6ExtK,spotify:track:3Ms9qUt6Xa22VJJsi6ExtK,USAT21206050
313266,False,Lloverá,28,spotify:track:2LPEIu912tQaUfYq5IXz4L,spotify:track:2LPEIu912tQaUfYq5IXz4L,USVP11200021
200773,False,Shooting the Moon,40,spotify:track:0An30hrLH1ZPSFyDyUM0RO,spotify:track:0An30hrLH1ZPSFyDyUM0RO,USR3B1000044
235440,False,I Caught Myself - Twilight Soundtrack Version,44,spotify:track:2E59wdcCUh3BAqepSNNMga,spotify:track:2E59wdcCUh3BAqepSNNMga,USAT20804111
177666,False,Sister Rosetta - 2011 Version,32,spotify:track:3PQjmUIMSZ8jQJwBB6LXlr,spotify:track:3PQjmUIMSZ8jQJwBB6LXlr,USAT21102311
305893,False,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,61,spotify:track:7hn8Q8WAxFdL4aZ159GI7C,spotify:track:7hn8Q8WAxFdL4aZ159GI7C,USAT21206055
233133,False,Heart of Stone,35,spotify:track:5wMF5Ol4ZqdAmzYDEeElNL,spotify:track:5wMF5Ol4ZqdAmzYDEeElNL,USAT21206050
285120,False,a thousand years,64,spotify:track:6z5Yh7kOKeLjqIsNdokIpU,spotify:track:6z5Yh7kOKeLjqIsNdokIpU,USAT21102141
184560,False,In My Mind,80,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,QZ22B1859046
211866,False,Darkside,58,spotify:track:1snWlbcbgQpJfknoI30DWG,spotify:track:1snWlbcbgQpJfknoI30DWG,NOG841806010
230761,False,High On Life (feat. Bonn),68,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,NLM5S1800265
173066,True,Moonlight,60,spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,USHM21844771
198281,False,Be Somebody (feat. Kiiara),6,spotify:track:1MobXMNPi9e1onV0ElsPEj,spotify:track:1MobXMNPi9e1onV0ElsPEj,USUS11800257
238173,False,Electricity,68,spotify:track:5N4erncE7kuUccm7zEmwzk,spotify:track:5N4erncE7kuUccm7zEmwzk,USQX91802285
234193,False,Say Nothing,11,spotify:track:3FUJ7XIj8YFsNBgotjf2YO,spotify:track:02V1OfUiCfPMs0TEtbIgN0,GBJAJ1800756
201904,False,Colombiano,14,spotify:track:1m09K9yDGb3HaafQnMkuCG,spotify:track:1m09K9yDGb3HaafQnMkuCG,GBZ9E1809502
235594,False,Count On You - ATFC's C-thru Remix,10,spotify:track:1eLomQhgMAEUMgpc7Q7aDJ,spotify:track:1eLomQhgMAEUMgpc7Q7aDJ,NLF711807269
222720,False,Spaceman,21,spotify:track:2nQVmbUxT6QwDVDE9yFnns,spotify:track:2JcG9PRhUWgw2ZdwHA24A6,GBJAJ1800591
174720,False,Time To Groove - LMC X Mark McCabe / PBH & Jack Shizzle Remix,6,spotify:track:30NmUqMPwIbjZHxEWjLjBa,spotify:track:30NmUqMPwIbjZHxEWjLjBa,GBCFZ1800020
228387,False,Talkin' - Radio Edit,7,spotify:track:5rvx9aTCy3F3Jvij3ql6iL,spotify:track:4eNueQmh7xhEnnUOLvUNdF,FR59R1859651
400451,False,Give Yourself Up,8,spotify:track:1Ye3Z2XpXhYNQhnLUux9uj,spotify:track:0EqacMOXNaVhZicFkAY4yZ,GBK6Y1828602
164453,False,Compromise / Bella's Theme,34,spotify:track:7f6oYamIR7aZIgLrcp7SPn,spotify:track:7f6oYamIR7aZIgLrcp7SPn,USKO11000659
255893,False,Turning Page,68,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,USGES1190004
270040,False,Love Will Take You,39,spotify:track:4Kh0kLj0LUZvDeJN9T8cqk,spotify:track:4Kh0kLj0LUZvDeJN9T8cqk,USAT21102306
280200,False,Speak Up,48,spotify:track:3WPVBSy8gle6w4Fd0NVXS7,spotify:track:3WPVBSy8gle6w4Fd0NVXS7,USAT21206049
212760,False,I Didn't Mean It - Soundtrack Version,37,spotify:track:2tsfrXrljBVa0fCXyQoISy,spotify:track:2tsfrXrljBVa0fCXyQoISy,USAT21102310
229626,False,Northern Lights,37,spotify:track:0iWLD7eUjAS5Ln1Se4H7Wi,spotify:track:0iWLD7eUjAS5Ln1Se4H7Wi,USAT21102312
201213,False,From Now On,51,spotify:track:0bMYIPW5vK6BWsCzjs02SM,spotify:track:0bMYIPW5vK6BWsCzjs02SM,USAT21102308
197000,False,Monsters,42,spotify:track:5B0G5hiPZ3uU8gK0R6ECSv,spotify:track:5B0G5hiPZ3uU8gK0R6ECSv,USNV91100130
257720,False,It Will Rain,79,spotify:track:0M3HkE321xpCbCYqVKzr1q,spotify:track:0M3HkE321xpCbCYqVKzr1q,USAT21102075
267120,False,"Flightless Bird, American Mouth - Wedding Version",49,spotify:track:3NW5y01Tna1lSVzAoe7imO,spotify:track:3NW5y01Tna1lSVzAoe7imO,USAT21102313
213533,False,Satellite Heart,39,spotify:track:4s2R37IwPPfm9lsqDFXfG9,spotify:track:4s2R37IwPPfm9lsqDFXfG9,USAT20903257
184600,False,In The Air Tonight,57,spotify:track:4Ed7NDNt5NmyVKcCKLRjjG,spotify:track:4Ed7NDNt5NmyVKcCKLRjjG,NLYK91800018
213278,False,Worth My Time,11,spotify:track:1HEw1ZYTMRl03yemXzuiq9,spotify:track:1HEw1ZYTMRl03yemXzuiq9,NLYK91800015
173799,False,Eastside (with Halsey & Khalid),72,spotify:track:0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,USUM71809132
167440,False,For You,13,spotify:track:3PEOQwIjl63hKEc67hyYSY,spotify:track:3PEOQwIjl63hKEc67hyYSY,NLYK91800016
202276,False,(It Happens) Sometimes,54,spotify:track:4cWafPsRizm6woL5j4HNTD,spotify:track:4cWafPsRizm6woL5j4HNTD,GBCPZ1814360
279187,False,Feel My Needs - Gorgon City Remix,34,spotify:track:5XrQLG0F2A5BsF6KfzGpL6,spotify:track:5XrQLG0F2A5BsF6KfzGpL6,GBJAJ1801329
434022,False,Blackbird - Dub Mix,6,spotify:track:0ETkHmCoTwWxZB4lQtgVmY,spotify:track:0ETkHmCoTwWxZB4lQtgVmY,ES84B1510547
491150,False,Messed Up,16,spotify:track:0UHpHP93B9SPxa61doPeM7,spotify:track:0UHpHP93B9SPxa61doPeM7,DEGA21200680
257573,True,High By The Beach,49,spotify:track:0VD1GQqBRp3oAx1Sv1lNKd,spotify:track:0VD1GQqBRp3oAx1Sv1lNKd,GBUM71502978
272742,False,Love,46,spotify:track:1sWiWerHnR6J4LNdFxdywM,spotify:track:1sWiWerHnR6J4LNdFxdywM,GBUM71604605
188720,False,New For You,35,spotify:track:4r8slqwskSBYn72lZ127nD,spotify:track:4r8slqwskSBYn72lZ127nD,USAT21206054
224600,False,Ghosts,48,spotify:track:4RD9ieX3yq8OLW5tlf1KLL,spotify:track:4RD9ieX3yq8OLW5tlf1KLL,USAT21206052
219426,False,The Antidote,41,spotify:track:2rKP4A3wm8b5zLFyqSXCMY,spotify:track:2rKP4A3wm8b5zLFyqSXCMY,USAT21206048
261959,False,Decode - Twilight Soundtrack Version,60,spotify:track:4IDfVjI1TlB1UwlC01T4Bm,spotify:track:4IDfVjI1TlB1UwlC01T4Bm,USAT20804057
150786,False,Fire In The Water,50,spotify:track:42YunpdquRjWicoxW971f4,spotify:track:42YunpdquRjWicoxW971f4,USAT21206046
86160,False,A Good Time,14,spotify:track:09LFQSEhFOWSp0VRmRMreE,spotify:track:09LFQSEhFOWSp0VRmRMreE,DEE861300039
118826,False,Maddy's Vision,9,spotify:track:2i50u11IefMPv9WY8D2aVm,spotify:track:2i50u11IefMPv9WY8D2aVm,DEE861300032
64693,False,Confession,18,spotify:track:5Skcz6AVKkMonGLeq0fdCA,spotify:track:5Skcz6AVKkMonGLeq0fdCA,DEE861300040
298333,False,The Forgotten,37,spotify:track:6l847nvbQHe1GkAkS4KP4v,spotify:track:6l847nvbQHe1GkAkS4KP4v,USRE11200547
236346,False,All I've Ever Needed,37,spotify:track:5oPc42EXh6CWTO8fqGNgg5,spotify:track:5oPc42EXh6CWTO8fqGNgg5,USAT21206053
220102,False,Like a Drug,33,spotify:track:3WnGZ4pYVAuymiLPRWQUb8,spotify:track:3WnGZ4pYVAuymiLPRWQUb8,USAT21102320
281946,False,Video Games,51,spotify:track:5UOo694cVvjcPFqLFiNWGU,spotify:track:5UOo694cVvjcPFqLFiNWGU,GBUM71111621
236053,False,Young And Beautiful,85,spotify:track:2nMeu6UenVvwUktBCpLMK9,spotify:track:2nMeu6UenVvwUktBCpLMK9,GBUM71301823
230533,False,National Anthem,41,spotify:track:3vJ7kCW4ROYpWFqlvFBkWb,spotify:track:3vJ7kCW4ROYpWFqlvFBkWb,GBUM71111567
180902,True,Cherry,49,spotify:track:0CYDYDMUwyFYEBMWfbxozX,spotify:track:0CYDYDMUwyFYEBMWfbxozX,GBUM71702621
209440,True,Blue Jeans - Remastered 2011,36,spotify:track:0n2uyQNCK59Xf9GjC8YSor,spotify:track:0n2uyQNCK59Xf9GjC8YSor,GBUM71111620
164710,False,White Mustang,60,spotify:track:4JIYhVDT2AWqNaWmAZr1id,spotify:track:4JIYhVDT2AWqNaWmAZr1id,GBUM71702622
351640,True,Brooklyn Baby,57,spotify:track:0CuQKW9YZZA3vcnfpKLCSj,spotify:track:0CuQKW9YZZA3vcnfpKLCSj,GBUM71402169
295569,False,13 Beaches,39,spotify:track:6VXpPeE3e5KGVQJuYednVS,spotify:track:6VXpPeE3e5KGVQJuYednVS,GBUM71701636
264066,False,Lust For Life (with The Weeknd),48,spotify:track:2Q4LPFmpHNY8c8gEkaM9yy,spotify:track:2Q4LPFmpHNY8c8gEkaM9yy,GBUM71701127
217306,False,Havana (feat. Young Thug),80,spotify:track:1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,USSM11706905
212000,False,New Rules,56,spotify:track:3QftqIoFrzYaEOGrQdjWe7,spotify:track:1Y8tTuBW1YOFc6o2N9jLGM,DEUM71601962
199386,False,Bang Bang,78,spotify:track:0puf9yIluy9W0vpMEUoAnN,spotify:track:0puf9yIluy9W0vpMEUoAnN,USUM71409737
231240,False,We Can't Stop,76,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,USRC11300686
198160,True,breathin,68,spotify:track:4OafepJy2teCjYJbvFE60J,spotify:track:4OafepJy2teCjYJbvFE60J,USUM71808582
176320,False,Issues,73,spotify:track:7vu0JkJh0ldukEYbTVcqd0,spotify:track:0xG0SHshCStMEyNbNC5d4k,USUM71615691
186986,False,2002,59,spotify:track:4Pbg79cTBu4vgSphoyNq3j,spotify:track:4Pbg79cTBu4vgSphoyNq3j,GBAHS1800094
261640,False,Halo,68,spotify:track:2MfOcbtgz2yTsiznFmVZUN,spotify:track:2MfOcbtgz2yTsiznFmVZUN,USSM10804556
224573,False,Worth It (feat. Kid Ink),72,spotify:track:41Fflg7qHiVOD6dEPvsCzO,spotify:track:41Fflg7qHiVOD6dEPvsCzO,USSM11406644
218773,False,Love Myself,67,spotify:track:36phXHOKx8rO7CMp2vNX4x,spotify:track:36phXHOKx8rO7CMp2vNX4x,USUM71510716
219320,True,Work,77,spotify:track:72TFWvU3wUYdUuxejTTIzt,spotify:track:72TFWvU3wUYdUuxejTTIzt,QM5FT1600116
232253,False,Delicate,80,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,USCJY1750007
195519,False,I'm a Mess,70,spotify:track:04ZTP5KsCypmtCmQg5tH9R,spotify:track:04ZTP5KsCypmtCmQg5tH9R,USWB11800739
218234,False,Ain't Your Mama,68,spotify:track:2hgzdQdnfWwtdpZbhZlV72,spotify:track:2hgzdQdnfWwtdpZbhZlV72,USSM11602625
252534,False,"Love Me Like You Do - From ""Fifty Shades Of Grey""",74,spotify:track:3zHq9ouUJQFQRf3cm1rRLu,spotify:track:3zHq9ouUJQFQRf3cm1rRLu,GBUM71406823
