duration_ms,explicit,name,popularity,uri,orig_uri,isrc
229146,False,Day One - Original Demo,44,spotify:track:1GelvXCuNRJkSTV8UwAAGw,spotify:track:1GelvXCuNRJkSTV8UwAAGw,USNLR1400799
264453,False,You're All I Want,69,spotify:track:4nvLuqwTOZdEJI1fcHXv8h,spotify:track:4nvLuqwTOZdEJI1fcHXv8h,USBQU1900259
208463,True,Mr. Forgettable II (Not Original),0,spotify:track:3zkEb3UqxMSTohDtnzMdOc,spotify:track:3zkEb3UqxMSTohDtnzMdOc,QZFYY2265557
188950,False,Still Something,48,spotify:track:1ZpcmirRaGcNWhvhkg3nYX,spotify:track:1ZpcmirRaGcNWhvhkg3nYX,QMEZE1946340
206493,False,Mr. Sandman,60,spotify:track:6sPpUfwcYBgW3kTXStNsVM,spotify:track:1ibQiWl2i50MGt3SpRuE0D,CAN111700076
254693,False,I'll Keep On,48,spotify:track:4ViElQuRwSp33VmXzPURf7,spotify:track:4ViElQuRwSp33VmXzPURf7,USUM71501611
249382,False,Fire and the Flood,64,spotify:track:6liNJDyWJjyHAgDnAX95bw,spotify:track:6liNJDyWJjyHAgDnAX95bw,USAT21502316
168000,False,Phone Call,0,spotify:track:5B4NDjnaIckUegGszWDoyG,spotify:track:5B4NDjnaIckUegGszWDoyG,QZNWQ2109736
208653,False,State Lines,72,spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,GB45A1800990
160097,False,Ophelia,78,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,spotify:track:5NORWMFC27ywGSZxi8uquP,USDMG1673802
239880,False,Where's My Love - Acoustic,72,spotify:track:0ElpbbncWT9aS7mgoqEHbQ,spotify:track:1eKvw144NYPlDjR0wQoGLW,CAN111600624
295533,False,Fix You,82,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,GBAYE0500605
203575,False,lost//found,37,spotify:track:5b7dneE3n3E6STLGvTbqbr,spotify:track:5b7dneE3n3E6STLGvTbqbr,USUM71710305
132000,False,715 - CR∑∑KS,48,spotify:track:4fLfKKoIWroefEjqpMDid7,spotify:track:4fLfKKoIWroefEjqpMDid7,US38Y1630003
189128,False,On Our Own,41,spotify:track:1bFQZ9mfgHrN6LhgMlyyFK,spotify:track:1FR7sSXjt4lCN965GvR5ym,GBKPL1786139
238746,False,Hold Back The River,64,spotify:track:72FNf7DAlWLmuHiLTBcNHY,spotify:track:72FNf7DAlWLmuHiLTBcNHY,USUM71413733
383513,False,S.T.A.Y.,61,spotify:track:6GUq9y0Iy5QrAuPYxTrFp2,spotify:track:6GUq9y0Iy5QrAuPYxTrFp2,USNLR1400787
219092,False,Mountains,60,spotify:track:0Sg3UL7f40ulmTh0Xwr6qY,spotify:track:0Sg3UL7f40ulmTh0Xwr6qY,USNLR1400780
