artist_uri,isrc
spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,USUM71500658
spotify:artist:1uNFoZAHBGtllmzznpCI3s,USUM71516761
spotify:artist:1uNFoZAHBGtllmzznpCI3s,USUM71511919
spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,NLF711805914
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DEQ121748887
spotify:artist:3OYM3jjPVR60kOqmamRRgk,DEQ121218023
spotify:artist:3OYM3jjPVR60kOqmamRRgk,DEQ121535325
spotify:artist:7oaSITFPadI3fnIxbv7hTa,DEQ121535325
spotify:artist:3OYM3jjPVR60kOqmamRRgk,DEQ121218025
spotify:artist:3OYM3jjPVR60kOqmamRRgk,DEQ121011616
spotify:artist:3OYM3jjPVR60kOqmamRRgk,DEQ121217106
spotify:artist:3Isy6kedDrgPYoTS1dazA9,USAT20202575
spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,USJI19910614
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DEFZ71800081
spotify:artist:2Im8m4STDBosjfmb5hmP80,DEQ021903449
spotify:artist:1pkDzgHvVqC17qYGKfLPpb,DEQ021903449
spotify:artist:5p7mWeX4RlvqBCxylfiXdE,DECE71900051
spotify:artist:3drqpTL4sQOckmAfF9i1wg,DECE71900051
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900051
spotify:artist:2Im8m4STDBosjfmb5hmP80,DEQ021903450
spotify:artist:5wyWp867LWGjFmYZXVSFnZ,DEQ021903450
spotify:artist:2Im8m4STDBosjfmb5hmP80,DEQ021903445
spotify:artist:2Im8m4STDBosjfmb5hmP80,DEQ021903449
spotify:artist:1pkDzgHvVqC17qYGKfLPpb,DEQ021903449
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900135
spotify:artist:3drqpTL4sQOckmAfF9i1wg,DECE71900135
spotify:artist:5p7mWeX4RlvqBCxylfiXdE,DECE71900135
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900610
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900610
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900271
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900271
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900312
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900312
spotify:artist:0tMFcqLXhtm1Gep20iuIR3,DEVX51700003
spotify:artist:1aS5tqEs9ci5P9KD9tZWa6,DEUM71804775
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DEUM71804775
